model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,7月7日 (8)(1).mp4,126,126,0,0.9883,0.0072,10.442,9.763,27.966,95.074,0.0000,0.0000,0.0000,0.0000
old,walk,7月7日 (8)(3).mp4,200,200,0,0.9222,0.0715,12.960,14.251,36.363,188.640,0.0000,0.0800,0.0088,0.2100
old,walk,7月7日 (8).mp4,94,94,0,0.8860,0.0573,23.779,20.968,57.858,235.629,0.0000,0.0000,0.0532,0.1879
new,walk,7月7日 (8)(1).mp4,126,126,0,0.9918,0.0049,10.550,9.303,27.443,96.159,0.0000,0.0000,0.0000,0.0000
new,walk,7月7日 (8)(3).mp4,200,200,0,0.9506,0.0426,14.138,15.498,41.288,220.771,0.0000,0.1300,0.0000,0.1367
new,walk,7月7日 (8).mp4,94,94,0,0.9146,0.0549,24.465,23.380,59.073,364.505,0.0000,0.0000,0.0186,0.2447
