Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),41.23,42.47,+1.239,-3.00%
Mean Confidence,0.934,0.955,+0.021,+2.25%
Mean Jitter (px),14.46,15.23,+0.771,-5.33%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,2.7%,4.3%,+1.7%,-62.50%
Paw Missing,2.1%,0.6%,-1.4%,+69.94%
Tail Missing,13.3%,12.7%,-0.6%,+4.17%
Tail Tip Missing,15.8%,17.2%,+1.4%,-8.73%
