epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.1296434595784444,0.9571527297857636,0.04134602416034428,0.9937205651491365,0.0003
2,0.03273592981218303,0.9910158949550795,0.05340330021040937,0.9937205651491365,0.0003
3,0.032231324443235766,0.9889426399447132,0.0634073055588883,0.9921507064364207,0.0003
4,0.023505332407946413,0.9903248099516241,0.06090220138383921,0.9937205651491365,0.0003
5,0.020005839336187204,0.9917069799585349,0.07482148339718143,0.9921507064364207,0.0003
6,0.013454417672984009,0.9958534899792675,0.0750548225377668,0.9937205651491365,0.0003
7,0.010898493494308775,0.9961990324809952,0.07755922014209833,0.9937205651491365,8.999999999999999e-05
8,0.012173726190423494,0.995162404975812,0.08294322722236597,0.9921507064364207,8.999999999999999e-05
9,0.009369326777850826,0.997581202487906,0.07468712174555789,0.9937205651491365,8.999999999999999e-05
10,0.009170737887463006,0.9965445749827229,0.07486122416187667,0.9937205651491365,8.999999999999999e-05
11,0.013389106681704767,0.9955079474775398,0.07740118692877838,0.9937205651491365,8.999999999999999e-05
12,0.00872774780499839,0.997581202487906,0.07933110525547869,0.9937205651491365,2.6999999999999996e-05
13,0.012196211206196385,0.9948168624740843,0.07641111806015818,0.9937205651491365,2.6999999999999996e-05
