model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,stop,stop_1.mp4,118,118,0,0.9991,0.0000,0.608,1.060,2.072,14.052,0.0000,0.0000,0.0000,0.0000
old,stop,stop_19.mp4,54,54,0,0.9934,0.0008,2.515,2.813,6.678,23.075,0.0000,0.0000,0.0000,0.0000
old,stop,stop_2.mp4,397,397,0,0.9773,0.0146,5.013,10.362,18.586,284.549,0.0000,0.4710,0.0000,0.0285
old,stop,stop_3.mp4,248,248,0,0.9655,0.0144,2.615,3.570,8.137,48.291,0.0000,0.0000,0.0000,0.0000
new,stop,stop_1.mp4,118,118,0,0.9987,0.0001,0.563,0.986,1.796,13.936,0.0000,0.0000,0.0000,0.0000
new,stop,stop_19.mp4,54,54,0,0.9918,0.0010,2.029,1.966,4.689,25.733,0.0000,0.0000,0.0000,0.0000
new,stop,stop_2.mp4,397,397,0,0.9853,0.0130,5.018,9.937,18.539,251.601,0.0000,0.4610,0.0000,0.0092
new,stop,stop_3.mp4,248,248,0,0.9659,0.0126,2.796,4.416,10.363,102.603,0.0000,0.0000,0.0000,0.0000
