model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,7月7日 (8)(1).mp4,126,126,0,0.9830,0.0130,10.115,8.978,27.341,73.347,0.0000,0.0000,0.0000,0.0000
old,walk,7月7日 (8)(3).mp4,200,200,0,0.9167,0.0671,12.133,13.463,36.129,150.289,0.0000,0.1350,0.0387,0.1683
old,walk,7月7日 (8).mp4,94,94,0,0.8769,0.0653,20.919,16.866,49.515,190.488,0.0000,0.0000,0.0691,0.1312
old,lick,7月3日(1).mp4,135,135,0,0.9912,0.0008,2.319,3.249,8.495,27.113,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(2).mp4,156,156,0,0.9977,0.0005,2.455,3.422,9.832,33.353,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(3).mp4,121,121,0,0.9995,0.0001,2.776,3.325,10.101,26.735,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(4).mp4,147,147,0,0.9882,0.0020,2.015,2.606,6.854,29.028,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日.mp4,139,139,0,0.9786,0.0026,3.097,3.625,10.901,26.942,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日 (2)(1).mp4,155,155,0,0.9724,0.0173,6.710,10.067,24.036,105.659,0.0000,0.0000,0.0000,0.2581
old,scratch,7月3日 (2)(2).mp4,109,109,0,0.9807,0.0081,6.682,12.122,25.535,181.491,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日 (2)(3).mp4,154,154,0,0.9966,0.0019,5.674,9.028,22.665,100.744,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日 (2)(4).mp4,142,142,0,0.9665,0.0178,4.958,10.533,19.522,221.500,0.0000,0.0000,0.0000,0.0493
old,scratch,7月3日 (2).mp4,177,177,0,0.9951,0.0022,5.628,9.076,18.873,197.011,0.0000,0.0000,0.0000,0.0000
old,shake,7月7日 (5)(1).mp4,105,105,0,0.9962,0.0035,4.515,10.843,18.443,109.209,0.0000,0.0000,0.0000,0.0000
old,shake,7月7日 (5)(2).mp4,99,99,0,0.9938,0.0055,5.789,15.058,21.592,196.626,0.0000,0.0000,0.0000,0.0000
old,shake,7月7日 (5)(3).mp4,102,102,0,0.9604,0.0242,6.539,12.131,24.035,151.502,0.0000,0.0000,0.0000,0.3105
old,shake,7月7日 (5)(4).mp4,110,110,0,0.9958,0.0020,4.656,11.064,18.042,139.293,0.0000,0.0000,0.0000,0.0000
old,shake,7月7日 (5)(5).mp4,108,108,0,0.9963,0.0040,4.505,8.220,18.353,104.492,0.0000,0.0000,0.0000,0.0000
old,shake,7月7日 (5).mp4,116,116,0,0.9960,0.0021,4.468,10.808,17.461,139.293,0.0000,0.0000,0.0000,0.0000
old,stop,7月7日 (8)(2).mp4,50,50,0,0.9696,0.0178,2.833,2.861,8.777,21.115,0.0000,0.6800,0.0000,0.0000
old,stop,7月7日 (8)(5).mp4,307,307,0,0.9869,0.0132,5.365,13.917,16.196,225.660,0.0000,0.0000,0.0000,0.0000
old,stop,7月7日 (8).mp4,123,123,0,0.9834,0.0191,7.002,10.710,23.020,252.649,0.0000,0.0650,0.0000,0.0000
old,stop,Desktop 2026.07.16 - 19.06.58.15.mp4,206,202,4,0.9904,0.0159,1.455,2.475,4.805,39.835,0.0194,0.0000,0.0000,0.0000
new,walk,7月7日 (8)(1).mp4,126,126,0,0.9833,0.0123,10.121,9.353,27.199,80.574,0.0000,0.0000,0.0000,0.0000
new,walk,7月7日 (8)(3).mp4,200,200,0,0.9184,0.0671,12.977,14.755,38.280,236.846,0.0000,0.1050,0.0188,0.1200
new,walk,7月7日 (8).mp4,94,94,0,0.8398,0.0542,20.504,16.925,48.601,252.395,0.0000,0.0000,0.2154,0.2766
new,lick,7月3日(1).mp4,135,135,0,0.9878,0.0013,2.263,3.121,7.955,24.659,0.0000,0.0000,0.0000,0.0000
new,lick,7月3日(2).mp4,156,156,0,0.9982,0.0002,2.146,2.680,7.322,20.743,0.0000,0.0000,0.0000,0.0000
new,lick,7月3日(3).mp4,121,121,0,0.9971,0.0005,2.416,2.918,7.625,26.780,0.0000,0.0000,0.0000,0.0000
new,lick,7月3日(4).mp4,147,147,0,0.9924,0.0012,2.025,2.680,7.188,30.380,0.0000,0.0000,0.0000,0.0000
new,lick,7月3日.mp4,139,139,0,0.9762,0.0035,3.188,3.442,10.248,25.253,0.0000,0.0000,0.0000,0.0000
new,scratch,7月3日 (2)(1).mp4,155,155,0,0.9593,0.0200,6.144,9.726,21.065,145.735,0.0000,0.0000,0.0000,0.1849
new,scratch,7月3日 (2)(2).mp4,109,109,0,0.9936,0.0022,6.609,11.312,25.062,123.740,0.0000,0.0000,0.0000,0.0000
new,scratch,7月3日 (2)(3).mp4,154,154,0,0.9970,0.0009,5.874,9.193,22.604,120.958,0.0000,0.0000,0.0000,0.0000
new,scratch,7月3日 (2)(4).mp4,142,142,0,0.9785,0.0243,5.337,10.980,21.198,217.399,0.0000,0.0000,0.0000,0.0117
new,scratch,7月3日 (2).mp4,177,177,0,0.9983,0.0007,5.837,8.963,18.870,156.786,0.0000,0.0000,0.0000,0.0000
new,shake,7月7日 (5)(1).mp4,105,105,0,0.9968,0.0016,5.173,11.667,20.244,120.995,0.0000,0.0000,0.0000,0.0000
new,shake,7月7日 (5)(2).mp4,99,99,0,0.9969,0.0024,6.979,16.196,26.742,171.029,0.0000,0.0000,0.0000,0.0000
new,shake,7月7日 (5)(3).mp4,102,102,0,0.9578,0.0214,6.118,11.161,23.118,145.961,0.0000,0.0000,0.0000,0.3333
new,shake,7月7日 (5)(4).mp4,110,110,0,0.9958,0.0021,4.776,12.106,19.779,132.316,0.0000,0.0000,0.0000,0.0000
new,shake,7月7日 (5)(5).mp4,108,108,0,0.9954,0.0051,4.103,8.267,18.237,105.380,0.0000,0.0000,0.0000,0.0000
new,shake,7月7日 (5).mp4,116,116,0,0.9959,0.0022,4.613,11.817,18.279,132.316,0.0000,0.0000,0.0000,0.0000
new,stop,7月7日 (8)(2).mp4,50,50,0,0.9632,0.0018,3.759,5.752,12.304,61.707,0.0000,0.0000,0.0000,0.0000
new,stop,7月7日 (8)(5).mp4,307,307,0,0.9913,0.0104,3.434,3.603,9.935,36.406,0.0000,0.0000,0.0000,0.0000
new,stop,7月7日 (8).mp4,123,123,0,0.9913,0.0112,6.918,9.680,22.097,140.751,0.0000,0.0976,0.0000,0.0000
new,stop,Desktop 2026.07.16 - 19.06.58.15.mp4,206,191,15,0.9898,0.0019,1.324,1.840,4.587,18.491,0.0728,0.0000,0.0000,0.0000
