behavior,old_mean_confidence,new_mean_confidence,conf_change,conf_improvement_pct,old_mean_jitter,new_mean_jitter,jitter_change,jitter_improvement_pct,old_missing_ratio,new_missing_ratio,missing_change,missing_improvement_pct
walk,0.9324,0.9398,+0.0075,+0.80%,14.327,13.899,-0.428,+2.99%,0.0000,0.0000,+0.0000,+0.00%
lick,0.9929,0.9951,+0.0023,+0.23%,2.524,2.441,-0.083,+3.31%,0.0000,0.0000,+0.0000,+0.00%
scratch,0.9898,0.9878,-0.0020,-0.21%,5.472,5.638,+0.166,-3.04%,0.0000,0.0000,+0.0000,+0.00%
shake,0.9924,0.9922,-0.0002,-0.02%,4.911,5.071,+0.159,-3.24%,0.0000,0.0000,+0.0000,+0.00%
stop,0.9872,0.9910,+0.0038,+0.39%,3.655,3.578,-0.077,+2.11%,0.0175,0.0219,+0.0044,-0.44%
