model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9551,0.1500,7.509,26.011,0.0498
old,1,Left_Ear,0.9793,0.0539,8.043,31.429,0.0000
old,2,Right_Ear,0.9804,0.0674,7.296,25.677,0.0030
old,3,Chest,0.9973,0.0272,3.654,13.142,0.0000
old,4,Mid_Back,0.9984,0.0019,3.899,13.737,0.0000
old,5,Hip,0.9982,0.0108,4.187,15.649,0.0000
old,6,LF_Elbow,0.9980,0.0064,3.861,14.866,0.0000
old,7,LF_Paw,0.9881,0.0539,5.116,21.024,0.0022
old,8,RF_Elbow,0.9962,0.0189,3.850,14.562,0.0000
old,9,RF_Paw,0.9818,0.0551,4.953,20.173,0.0009
old,10,LH_Knee,0.9782,0.0971,4.413,17.174,0.0034
old,11,LH_Paw,0.9759,0.0936,7.180,29.739,0.0027
old,12,RH_Knee,0.9705,0.1116,4.239,16.357,0.0061
old,13,RH_Paw,0.9724,0.0935,6.566,27.417,0.0025
old,14,Tail_Root,0.9734,0.1271,4.716,17.356,0.0130
old,15,Tail_Mid,0.9678,0.1251,5.313,20.483,0.0135
old,16,Tail_Tip,0.8648,0.2482,8.131,31.550,0.0928
new,0,Nose,0.9511,0.1647,7.539,26.022,0.0579
new,1,Left_Ear,0.9843,0.0519,7.817,30.731,0.0024
new,2,Right_Ear,0.9766,0.0799,7.371,26.521,0.0039
new,3,Chest,0.9968,0.0355,3.671,13.434,0.0000
new,4,Mid_Back,0.9986,0.0016,3.822,13.593,0.0000
new,5,Hip,0.9994,0.0040,4.201,15.488,0.0000
new,6,LF_Elbow,0.9982,0.0061,3.950,15.194,0.0000
new,7,LF_Paw,0.9863,0.0500,5.356,21.203,0.0009
new,8,RF_Elbow,0.9963,0.0154,3.896,14.198,0.0000
new,9,RF_Paw,0.9825,0.0477,4.994,19.079,0.0002
new,10,LH_Knee,0.9836,0.0819,4.356,16.271,0.0066
new,11,LH_Paw,0.9778,0.0920,7.126,26.643,0.0067
new,12,RH_Knee,0.9731,0.1094,4.292,17.525,0.0098
new,13,RH_Paw,0.9739,0.0939,6.517,26.136,0.0060
new,14,Tail_Root,0.9839,0.0828,4.675,17.762,0.0041
new,15,Tail_Mid,0.9817,0.0823,5.332,19.522,0.0048
new,16,Tail_Tip,0.8963,0.2107,7.843,30.367,0.0637
