Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),20.96,20.67,-0.290,+1.38%
Mean Confidence,0.983,0.985,+0.002,+0.18%
Mean Jitter (px),5.45,5.44,-0.007,+0.13%
Missing Ratio,0.4%,0.5%,+0.1%,-0.09%
Nose Missing,5.0%,5.8%,+0.8%,-16.36%
Paw Missing,0.2%,0.3%,+0.1%,-0.14%
Tail Missing,4.0%,2.4%,-1.6%,+39.08%
Tail Tip Missing,9.3%,6.4%,-2.9%,+31.35%
