behavior,old_mean_confidence,new_mean_confidence,conf_change,conf_improvement_pct,old_mean_jitter,new_mean_jitter,jitter_change,jitter_improvement_pct,old_missing_ratio,new_missing_ratio,missing_change,missing_improvement_pct
walk,0.9324,0.9410,+0.0087,+0.93%,14.327,13.545,-0.782,+5.45%,0.0000,0.0000,+0.0000,+0.00%
lick,0.9929,0.9936,+0.0008,+0.08%,2.524,2.385,-0.139,+5.49%,0.0000,0.0000,+0.0000,+0.00%
scratch,0.9898,0.9852,-0.0047,-0.47%,5.472,5.664,+0.192,-3.50%,0.0000,0.0000,+0.0000,+0.00%
shake,0.9924,0.9907,-0.0016,-0.17%,4.911,5.078,+0.167,-3.40%,0.0000,0.0000,+0.0000,+0.00%
stop,0.9872,0.9866,-0.0006,-0.06%,3.655,3.964,+0.309,-8.46%,0.0175,0.0219,+0.0044,-0.44%
