Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),20.96,21.17,+0.207,-0.99%
Mean Confidence,0.983,0.983,-0.000,-0.02%
Mean Jitter (px),5.45,5.45,+0.001,-0.02%
Missing Ratio,0.4%,0.5%,+0.1%,-0.09%
Nose Missing,5.0%,5.7%,+0.8%,-15.52%
Paw Missing,0.2%,0.2%,+0.0%,-0.00%
Tail Missing,4.0%,4.1%,+0.1%,-3.57%
Tail Tip Missing,9.3%,8.8%,-0.5%,+5.48%
