Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),13.16,14.20,+1.035,-7.86%
Mean Confidence,0.978,0.972,-0.007,-0.67%
Mean Jitter (px),3.39,3.61,+0.214,-6.32%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,11.7%,11.2%,-0.5%,+4.30%
Paw Missing,0.0%,0.0%,+0.0%,+0.00%
Tail Missing,0.2%,2.3%,+2.1%,-2.11%
Tail Tip Missing,0.6%,7.0%,+6.3%,-6.34%
