model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.7434,0.3898,4.503,20.275,0.1171
old,1,Left_Ear,0.9671,0.0294,3.777,16.934,0.0000
old,2,Right_Ear,0.8791,0.1014,4.089,15.088,0.0000
old,3,Chest,0.9955,0.0053,1.964,6.654,0.0000
old,4,Mid_Back,0.9990,0.0009,2.097,7.226,0.0000
old,5,Hip,1.0000,0.0000,1.928,6.532,0.0000
old,6,LF_Elbow,0.9998,0.0004,2.050,8.128,0.0000
old,7,LF_Paw,0.9933,0.0104,2.757,11.559,0.0000
old,8,RF_Elbow,0.9990,0.0010,2.164,8.093,0.0000
old,9,RF_Paw,0.9437,0.0807,2.217,8.195,0.0000
old,10,LH_Knee,0.9999,0.0001,1.981,7.374,0.0000
old,11,LH_Paw,0.9985,0.0053,3.244,13.186,0.0000
old,12,RH_Knee,0.9996,0.0005,2.159,8.002,0.0000
old,13,RH_Paw,0.9969,0.0084,2.520,8.718,0.0000
old,14,Tail_Root,0.9998,0.0003,3.058,12.575,0.0000
old,15,Tail_Mid,0.9982,0.0047,6.103,26.770,0.0000
old,16,Tail_Tip,0.8980,0.1564,11.428,47.040,0.0063
new,0,Nose,0.7483,0.3732,4.872,20.928,0.1121
new,1,Left_Ear,0.9622,0.0432,3.710,16.246,0.0000
new,2,Right_Ear,0.8915,0.0972,4.796,18.372,0.0000
new,3,Chest,0.9958,0.0048,2.353,8.922,0.0000
new,4,Mid_Back,0.9981,0.0017,2.426,8.018,0.0000
new,5,Hip,0.9999,0.0002,2.629,9.823,0.0000
new,6,LF_Elbow,0.9998,0.0006,2.255,7.740,0.0000
new,7,LF_Paw,0.9887,0.0209,3.013,12.558,0.0000
new,8,RF_Elbow,0.9987,0.0028,2.289,9.879,0.0000
new,9,RF_Paw,0.9422,0.1068,2.671,10.533,0.0000
new,10,LH_Knee,0.9998,0.0004,2.218,8.605,0.0000
new,11,LH_Paw,0.9983,0.0034,3.382,11.002,0.0000
new,12,RH_Knee,0.9988,0.0012,2.285,8.583,0.0000
new,13,RH_Paw,0.9958,0.0079,2.832,11.103,0.0000
new,14,Tail_Root,0.9995,0.0010,3.367,11.184,0.0000
new,15,Tail_Mid,0.9909,0.0263,6.174,23.604,0.0000
new,16,Tail_Tip,0.7296,0.2694,11.216,45.402,0.0697
