behavior,old_mean_confidence,new_mean_confidence,conf_change,conf_improvement_pct,old_mean_jitter,new_mean_jitter,jitter_change,jitter_improvement_pct,old_missing_ratio,new_missing_ratio,missing_change,missing_improvement_pct
walk,0.9203,0.9410,+0.0207,+2.25%,13.526,13.545,+0.020,-0.14%,0.0000,0.0000,+0.0000,+0.00%
lick,0.9904,0.9936,+0.0032,+0.33%,2.397,2.385,-0.012,+0.50%,0.0000,0.0000,+0.0000,+0.00%
scratch,0.9853,0.9852,-0.0001,-0.01%,5.925,5.664,-0.262,+4.42%,0.0000,0.0000,+0.0000,+0.00%
shake,0.9900,0.9907,+0.0007,+0.07%,5.244,5.078,-0.166,+3.16%,0.0000,0.0000,+0.0000,+0.00%
stop,0.9888,0.9866,-0.0022,-0.22%,3.490,3.964,+0.474,-13.57%,0.0219,0.0219,+0.0000,+0.00%
