model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9544,0.1472,7.483,26.377,0.0088
old,1,Left_Ear,0.9759,0.0637,8.044,30.308,0.0011
old,2,Right_Ear,0.9768,0.0725,7.428,26.619,0.0033
old,3,Chest,0.9981,0.0168,3.680,13.184,0.0000
old,4,Mid_Back,0.9988,0.0015,3.997,13.836,0.0000
old,5,Hip,0.9974,0.0150,4.289,15.891,0.0000
old,6,LF_Elbow,0.9960,0.0164,3.940,14.446,0.0000
old,7,LF_Paw,0.9778,0.0599,5.230,21.113,0.0004
old,8,RF_Elbow,0.9930,0.0295,4.033,14.613,0.0000
old,9,RF_Paw,0.9711,0.0842,5.201,20.754,0.0002
old,10,LH_Knee,0.9743,0.1190,4.082,15.291,0.0182
old,11,LH_Paw,0.9699,0.1195,7.034,26.927,0.0166
old,12,RH_Knee,0.9634,0.1399,4.163,16.094,0.0232
old,13,RH_Paw,0.9631,0.1294,6.184,25.249,0.0235
old,14,Tail_Root,0.9737,0.1152,4.452,16.562,0.0104
old,15,Tail_Mid,0.9608,0.1268,5.157,19.625,0.0120
old,16,Tail_Tip,0.8692,0.2632,8.205,32.473,0.0984
new,0,Nose,0.9488,0.1715,7.513,25.961,0.0575
new,1,Left_Ear,0.9818,0.0511,8.042,31.316,0.0020
new,2,Right_Ear,0.9768,0.0736,7.701,27.480,0.0035
new,3,Chest,0.9974,0.0264,3.713,13.763,0.0000
new,4,Mid_Back,0.9986,0.0020,3.991,13.861,0.0000
new,5,Hip,0.9961,0.0234,4.174,14.976,0.0000
new,6,LF_Elbow,0.9964,0.0129,3.854,15.019,0.0000
new,7,LF_Paw,0.9866,0.0484,5.427,22.488,0.0017
new,8,RF_Elbow,0.9960,0.0153,3.928,15.764,0.0000
new,9,RF_Paw,0.9803,0.0481,5.112,20.956,0.0004
new,10,LH_Knee,0.9826,0.0778,4.111,16.206,0.0032
new,11,LH_Paw,0.9787,0.0743,7.285,27.893,0.0009
new,12,RH_Knee,0.9717,0.1178,4.154,16.460,0.0152
new,13,RH_Paw,0.9741,0.0873,6.630,26.518,0.0053
new,14,Tail_Root,0.9750,0.1174,4.343,16.247,0.0142
new,15,Tail_Mid,0.9639,0.1346,5.140,20.033,0.0215
new,16,Tail_Tip,0.8659,0.2480,7.789,30.708,0.0877
