Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),20.48,21.17,+0.689,-3.36%
Mean Confidence,0.980,0.983,+0.003,+0.32%
Mean Jitter (px),5.43,5.45,+0.019,-0.35%
Missing Ratio,0.5%,0.5%,+0.0%,+0.00%
Nose Missing,0.9%,5.7%,+4.9%,-4.87%
Paw Missing,1.0%,0.2%,-0.8%,+0.81%
Tail Missing,4.0%,4.1%,+0.1%,-2.19%
Tail Tip Missing,9.8%,8.8%,-1.1%,+10.85%
