model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9551,0.1500,7.509,26.011,0.0498
old,1,Left_Ear,0.9793,0.0539,8.043,31.429,0.0000
old,2,Right_Ear,0.9804,0.0674,7.296,25.677,0.0030
old,3,Chest,0.9973,0.0272,3.654,13.142,0.0000
old,4,Mid_Back,0.9984,0.0019,3.899,13.737,0.0000
old,5,Hip,0.9982,0.0108,4.187,15.649,0.0000
old,6,LF_Elbow,0.9980,0.0064,3.861,14.866,0.0000
old,7,LF_Paw,0.9881,0.0539,5.116,21.024,0.0022
old,8,RF_Elbow,0.9962,0.0189,3.850,14.562,0.0000
old,9,RF_Paw,0.9818,0.0551,4.953,20.173,0.0009
old,10,LH_Knee,0.9782,0.0971,4.413,17.174,0.0034
old,11,LH_Paw,0.9759,0.0936,7.180,29.739,0.0027
old,12,RH_Knee,0.9705,0.1116,4.239,16.357,0.0061
old,13,RH_Paw,0.9724,0.0935,6.566,27.417,0.0025
old,14,Tail_Root,0.9734,0.1271,4.716,17.356,0.0130
old,15,Tail_Mid,0.9678,0.1251,5.313,20.483,0.0135
old,16,Tail_Tip,0.8648,0.2482,8.131,31.550,0.0928
new,0,Nose,0.9544,0.1472,7.483,26.377,0.0088
new,1,Left_Ear,0.9759,0.0637,8.044,30.308,0.0011
new,2,Right_Ear,0.9768,0.0725,7.428,26.619,0.0033
new,3,Chest,0.9981,0.0168,3.680,13.184,0.0000
new,4,Mid_Back,0.9988,0.0015,3.997,13.836,0.0000
new,5,Hip,0.9974,0.0150,4.289,15.891,0.0000
new,6,LF_Elbow,0.9960,0.0164,3.940,14.446,0.0000
new,7,LF_Paw,0.9778,0.0599,5.230,21.113,0.0004
new,8,RF_Elbow,0.9930,0.0295,4.033,14.613,0.0000
new,9,RF_Paw,0.9711,0.0842,5.201,20.754,0.0002
new,10,LH_Knee,0.9743,0.1190,4.082,15.291,0.0182
new,11,LH_Paw,0.9699,0.1195,7.034,26.927,0.0166
new,12,RH_Knee,0.9634,0.1399,4.163,16.094,0.0232
new,13,RH_Paw,0.9631,0.1294,6.184,25.249,0.0235
new,14,Tail_Root,0.9737,0.1152,4.452,16.562,0.0104
new,15,Tail_Mid,0.9608,0.1268,5.157,19.625,0.0120
new,16,Tail_Tip,0.8692,0.2632,8.205,32.473,0.0984
