Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),20.72,22.58,+1.859,-8.97%
Mean Confidence,0.981,0.987,+0.007,+0.67%
Mean Jitter (px),5.41,5.79,+0.380,-7.02%
Missing Ratio,0.5%,0.3%,-0.1%,+0.13%
Nose Missing,5.3%,5.4%,+0.2%,-3.19%
Paw Missing,0.3%,0.1%,-0.2%,+0.17%
Tail Missing,4.0%,3.7%,-0.2%,+6.05%
Tail Tip Missing,8.8%,8.5%,-0.3%,+3.70%
