model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9516,0.1609,7.447,26.122,0.0526
old,1,Left_Ear,0.9790,0.0458,7.805,28.804,0.0000
old,2,Right_Ear,0.9822,0.0540,7.272,25.308,0.0026
old,3,Chest,0.9978,0.0195,3.711,13.253,0.0000
old,4,Mid_Back,0.9987,0.0019,3.842,13.949,0.0000
old,5,Hip,0.9981,0.0105,4.275,15.534,0.0000
old,6,LF_Elbow,0.9972,0.0076,3.984,16.062,0.0000
old,7,LF_Paw,0.9837,0.0496,5.136,20.647,0.0007
old,8,RF_Elbow,0.9965,0.0096,4.134,15.574,0.0000
old,9,RF_Paw,0.9802,0.0501,5.131,18.333,0.0002
old,10,LH_Knee,0.9760,0.1059,4.246,16.879,0.0098
old,11,LH_Paw,0.9757,0.0887,6.889,27.703,0.0032
old,12,RH_Knee,0.9625,0.1468,4.144,16.438,0.0245
old,13,RH_Paw,0.9693,0.1035,6.869,27.714,0.0067
old,14,Tail_Root,0.9654,0.1312,4.490,16.581,0.0150
old,15,Tail_Mid,0.9537,0.1442,4.969,18.878,0.0163
old,16,Tail_Tip,0.8590,0.2622,7.785,30.297,0.0879
new,0,Nose,0.9561,0.1545,7.703,26.706,0.0543
new,1,Left_Ear,0.9847,0.0371,8.276,32.586,0.0000
new,2,Right_Ear,0.9799,0.0631,7.633,27.703,0.0030
new,3,Chest,0.9977,0.0195,4.014,14.436,0.0000
new,4,Mid_Back,0.9988,0.0017,4.101,14.781,0.0000
new,5,Hip,0.9990,0.0085,4.583,16.209,0.0000
new,6,LF_Elbow,0.9975,0.0265,4.169,15.658,0.0004
new,7,LF_Paw,0.9913,0.0334,5.460,21.558,0.0004
new,8,RF_Elbow,0.9964,0.0302,4.041,15.210,0.0009
new,9,RF_Paw,0.9811,0.0483,5.259,21.505,0.0000
new,10,LH_Knee,0.9901,0.0544,4.409,17.730,0.0023
new,11,LH_Paw,0.9877,0.0595,7.519,29.957,0.0014
new,12,RH_Knee,0.9803,0.0853,4.422,17.563,0.0051
new,13,RH_Paw,0.9848,0.0632,6.539,26.655,0.0023
new,14,Tail_Root,0.9786,0.1091,5.135,19.943,0.0129
new,15,Tail_Mid,0.9698,0.1212,6.000,23.505,0.0144
new,16,Tail_Tip,0.8929,0.2361,9.463,36.438,0.0847
