epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.5454093611930028,0.7355371900826446,0.14977295559186202,1.0,0.0003
2,0.2664249394058196,0.9752066115702479,0.048017281866990606,1.0,0.0003
3,0.1267870429379881,1.0,0.02542609813121649,1.0,0.0003
4,0.07074164722330314,1.0,0.016272646905137942,1.0,0.0003
5,0.04605908122313909,1.0,0.008723558170291093,1.0,0.0003
6,0.02469765362599172,1.0,0.004801296213498482,1.0,0.0003
7,0.035441867114344903,1.0,0.004033951955632522,1.0,8.999999999999999e-05
8,0.017540332168525408,1.0,0.0036192124100545278,1.0,8.999999999999999e-05
9,0.017294545850354778,1.0,0.0033339210535184697,1.0,8.999999999999999e-05
10,0.02327986814327969,1.0,0.0029788170708343388,1.0,8.999999999999999e-05
11,0.016379193918517797,1.0,0.0027245821413369132,1.0,8.999999999999999e-05
12,0.03727929150947362,0.9917355371900827,0.0027614370042171616,1.0,2.6999999999999996e-05
13,0.011449002229785624,1.0,0.002856090242186418,1.0,2.6999999999999996e-05
