Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),23.59,26.16,+2.575,-10.92%
Mean Confidence,0.969,0.977,+0.008,+0.87%
Mean Jitter (px),7.52,8.41,+0.889,-11.83%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,34.6%,31.2%,-3.4%,+9.74%
Paw Missing,1.6%,3.0%,+1.4%,-1.39%
Tail Missing,3.0%,3.0%,+0.0%,-1.11%
Tail Tip Missing,9.0%,9.1%,+0.1%,-1.11%
