model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9516,0.1609,7.447,26.122,0.0526
old,1,Left_Ear,0.9790,0.0458,7.805,28.804,0.0000
old,2,Right_Ear,0.9822,0.0540,7.272,25.308,0.0026
old,3,Chest,0.9978,0.0195,3.711,13.253,0.0000
old,4,Mid_Back,0.9987,0.0019,3.842,13.949,0.0000
old,5,Hip,0.9981,0.0105,4.275,15.534,0.0000
old,6,LF_Elbow,0.9972,0.0076,3.984,16.062,0.0000
old,7,LF_Paw,0.9837,0.0496,5.136,20.647,0.0007
old,8,RF_Elbow,0.9965,0.0096,4.134,15.574,0.0000
old,9,RF_Paw,0.9802,0.0501,5.131,18.333,0.0002
old,10,LH_Knee,0.9760,0.1059,4.246,16.879,0.0098
old,11,LH_Paw,0.9757,0.0887,6.889,27.703,0.0032
old,12,RH_Knee,0.9625,0.1468,4.144,16.438,0.0245
old,13,RH_Paw,0.9693,0.1035,6.869,27.714,0.0067
old,14,Tail_Root,0.9654,0.1312,4.490,16.581,0.0150
old,15,Tail_Mid,0.9537,0.1442,4.969,18.878,0.0163
old,16,Tail_Tip,0.8590,0.2622,7.785,30.297,0.0879
new,0,Nose,0.0000,0.0000,0.000,0.000,0.0000
new,1,Left_Ear,0.0000,0.0000,0.000,0.000,0.0000
new,2,Right_Ear,0.0000,0.0000,0.000,0.000,0.0000
new,3,Chest,0.0000,0.0000,0.000,0.000,0.0000
new,4,Mid_Back,0.0000,0.0000,0.000,0.000,0.0000
new,5,Hip,0.0000,0.0000,0.000,0.000,0.0000
new,6,LF_Elbow,0.0000,0.0000,0.000,0.000,0.0000
new,7,LF_Paw,0.0000,0.0000,0.000,0.000,0.0000
new,8,RF_Elbow,0.0000,0.0000,0.000,0.000,0.0000
new,9,RF_Paw,0.0000,0.0000,0.000,0.000,0.0000
new,10,LH_Knee,0.0000,0.0000,0.000,0.000,0.0000
new,11,LH_Paw,0.0000,0.0000,0.000,0.000,0.0000
new,12,RH_Knee,0.0000,0.0000,0.000,0.000,0.0000
new,13,RH_Paw,0.0000,0.0000,0.000,0.000,0.0000
new,14,Tail_Root,0.0000,0.0000,0.000,0.000,0.0000
new,15,Tail_Mid,0.0000,0.0000,0.000,0.000,0.0000
new,16,Tail_Tip,0.0000,0.0000,0.000,0.000,0.0000
