Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),20.72,0.00,-20.720,+100.00%
Mean Confidence,0.981,0.000,-0.981,-100.00%
Mean Jitter (px),5.41,0.00,-5.407,+100.00%
Missing Ratio,0.5%,0.0%,-0.5%,+0.47%
Nose Missing,5.3%,0.0%,-5.3%,+100.00%
Paw Missing,0.3%,0.0%,-0.3%,+0.27%
Tail Missing,4.0%,0.0%,-4.0%,+100.00%
Tail Tip Missing,8.8%,0.0%,-8.8%,+100.00%
