Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),21.17,21.23,+0.058,-0.27%
Mean Confidence,0.983,0.981,-0.002,-0.18%
Mean Jitter (px),5.45,5.64,+0.191,-3.51%
Missing Ratio,0.5%,0.5%,+0.0%,+0.00%
Nose Missing,5.7%,5.0%,-0.7%,+12.73%
Paw Missing,0.2%,0.7%,+0.5%,-0.54%
Tail Missing,4.1%,3.3%,-0.8%,+18.97%
Tail Tip Missing,8.8%,8.2%,-0.5%,+5.99%
