model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.8774,0.2678,8.548,23.706,0.0553
old,1,Left_Ear,0.9621,0.0838,10.550,27.974,0.0050
old,2,Right_Ear,0.9639,0.1356,9.838,25.114,0.0213
old,3,Chest,0.9913,0.0581,8.623,22.327,0.0013
old,4,Mid_Back,0.9974,0.0038,8.371,23.045,0.0000
old,5,Hip,0.9917,0.0272,9.365,25.361,0.0000
old,6,LF_Elbow,0.9899,0.0225,11.681,31.462,0.0000
old,7,LF_Paw,0.9547,0.1167,20.331,55.274,0.0100
old,8,RF_Elbow,0.9859,0.0397,11.579,28.735,0.0000
old,9,RF_Paw,0.9561,0.1138,19.808,58.296,0.0102
old,10,LH_Knee,0.9314,0.1540,9.972,24.977,0.0407
old,11,LH_Paw,0.9179,0.1705,17.365,42.854,0.0435
old,12,RH_Knee,0.9232,0.1742,10.151,25.481,0.0352
old,13,RH_Paw,0.9252,0.1567,18.381,46.413,0.0274
old,14,Tail_Root,0.9437,0.1586,11.136,30.667,0.0228
old,15,Tail_Mid,0.9339,0.1722,14.488,39.992,0.0305
old,16,Tail_Tip,0.8544,0.2269,18.467,58.083,0.0738
new,0,Nose,0.8414,0.2968,8.324,23.483,0.0706
new,1,Left_Ear,0.9270,0.1105,11.508,29.622,0.0075
new,2,Right_Ear,0.9611,0.1323,11.623,29.250,0.0200
new,3,Chest,0.9901,0.0556,9.007,25.802,0.0025
new,4,Mid_Back,0.9990,0.0011,8.334,24.716,0.0000
new,5,Hip,0.9997,0.0011,10.249,29.692,0.0000
new,6,LF_Elbow,0.9983,0.0017,12.511,38.894,0.0000
new,7,LF_Paw,0.9770,0.0836,20.632,63.352,0.0050
new,8,RF_Elbow,0.9979,0.0122,11.541,30.457,0.0000
new,9,RF_Paw,0.9809,0.0761,19.171,56.698,0.0037
new,10,LH_Knee,0.9873,0.0157,11.027,28.423,0.0000
new,11,LH_Paw,0.9850,0.0282,19.193,50.227,0.0000
new,12,RH_Knee,0.9846,0.0337,11.200,27.325,0.0000
new,13,RH_Paw,0.9806,0.0442,18.773,46.996,0.0000
new,14,Tail_Root,0.9944,0.0187,11.473,37.392,0.0000
new,15,Tail_Mid,0.9888,0.0351,14.576,42.315,0.0000
new,16,Tail_Tip,0.9558,0.0796,20.658,62.982,0.0000
