frame,inst_idx,track_id,bbox_conf,label,dist_cat_a,dist_cat_b,reason,bbox
1,0,0,0.844,黑白貓,0.816,0.424,,"1811,618,2554,1266"
2,0,0,0.902,黑白貓,0.732,0.398,,"1783,582,2553,1271"
3,0,0,0.939,黑白貓,0.560,0.361,,"1455,551,2418,1380"
4,0,0,0.940,黑白貓,0.625,0.301,,"1426,492,2430,1383"
5,0,0,0.947,黑白貓,0.650,0.316,,"1417,432,2355,1383"
6,0,0,0.952,黑白貓,0.626,0.364,,"1374,323,2290,1381"
7,0,0,0.936,黑白貓,0.665,0.313,,"1364,433,2324,1324"
8,0,0,0.919,黑白貓,0.777,0.368,,"1358,541,2330,1268"
9,0,0,0.951,黑白貓,0.779,0.360,,"1343,528,2420,1299"
10,0,0,0.948,黑白貓,0.755,0.352,,"1339,512,2345,1329"
11,0,0,0.950,黑白貓,0.710,0.331,,"1340,462,2360,1389"
12,0,0,0.955,黑白貓,0.703,0.376,,"1351,437,2401,1344"
13,0,0,0.950,黑白貓,0.760,0.393,,"1349,501,2330,1407"
14,0,0,0.953,黑白貓,0.764,0.403,,"1349,500,2342,1421"
15,0,0,0.957,黑白貓,0.761,0.388,,"1373,497,2370,1396"
16,0,0,0.954,黑白貓,0.764,0.425,,"1362,504,2473,1435"
17,0,0,0.954,黑白貓,0.750,0.397,,"1329,500,2560,1420"
18,0,0,0.955,黑白貓,0.720,0.362,,"1265,497,2555,1425"
19,0,0,0.959,黑白貓,0.716,0.359,,"1216,492,2552,1433"
20,0,0,0.955,黑白貓,0.707,0.338,,"1199,479,2520,1431"
21,0,0,0.957,黑白貓,0.664,0.320,,"1204,408,2427,1440"
22,0,0,0.956,黑白貓,0.726,0.302,,"1199,501,2367,1333"
23,0,0,0.960,黑白貓,0.724,0.313,,"1186,495,2216,1399"
24,0,0,0.940,黑白貓,0.769,0.339,,"1157,508,2040,1364"
25,0,0,0.953,黑白貓,0.799,0.385,,"1140,505,1924,1355"
26,0,0,0.943,黑白貓,0.769,0.382,,"1119,504,2046,1348"
27,0,0,0.945,黑白貓,0.781,0.412,,"1056,529,1851,1315"
28,0,0,0.898,黑白貓,0.735,0.382,,"1040,514,1972,1257"
29,0,0,0.951,黑白貓,0.672,0.377,,"1031,427,1926,1231"
30,0,0,0.951,黑白貓,0.586,0.406,,"1034,300,1779,1251"
31,0,0,0.881,黑白貓,0.484,0.366,,"1015,267,1765,1285"
32,0,0,0.912,黑白貓,0.553,0.423,,"1003,572,1691,1262"
33,0,0,0.916,黑白貓,0.604,0.404,,"946,556,1612,1272"
34,0,0,0.923,黑白貓,0.481,0.381,,"969,452,1601,1280"
35,0,0,0.929,黑白貓,0.517,0.396,,"972,493,1555,1216"
36,0,0,0.939,黑白貓,0.514,0.394,,"954,426,1495,1201"
37,0,0,0.938,黑白貓,0.529,0.382,,"951,383,1472,1203"
38,0,0,0.929,黑白貓,0.506,0.351,,"950,352,1465,1204"
39,0,0,0.919,黑白貓,0.696,0.362,,"910,337,1357,1205"
40,0,0,0.906,黑白貓,0.764,0.405,,"868,577,1317,1198"
41,0,0,0.909,黑白貓,0.769,0.356,,"907,592,1325,1200"
42,0,0,0.908,黑白貓,0.769,0.358,,"917,577,1311,1200"
43,0,0,0.805,黑白貓,0.751,0.343,,"885,575,1323,1199"
44,0,0,0.871,黑白貓,0.762,0.363,,"934,574,1329,1201"
45,0,0,0.932,黑白貓,0.295,0.319,,"947,572,1746,1176"
46,0,0,0.929,黑白貓,0.457,0.333,,"951,582,1470,1153"
47,0,0,0.914,黑白貓,0.425,0.334,,"947,583,1487,1152"
48,0,0,0.914,黑白貓,0.693,0.334,,"939,589,1307,1156"
49,0,0,0.908,黑白貓,0.675,0.403,,"940,589,1305,1158"
50,0,0,0.903,黑白貓,0.641,0.448,,"948,593,1305,1161"
51,0,0,0.920,黑白貓,0.568,0.399,,"949,595,1330,1165"
52,0,0,0.934,黑白貓,0.474,0.390,,"950,594,1358,1169"
53,0,0,0.921,黑白貓,0.466,0.369,,"957,591,1372,1173"
54,0,0,0.931,黑白貓,0.218,0.339,,"951,582,1649,1199"
55,0,0,0.913,黑白貓,0.409,0.376,,"967,591,1415,1203"
56,0,0,0.903,黑白貓,0.398,0.351,,"1006,595,1399,1208"
57,0,0,0.916,黑白貓,0.447,0.349,,"1020,594,1386,1221"
58,0,0,0.913,黑白貓,0.448,0.354,,"1025,591,1385,1221"
59,0,0,0.910,黑白貓,0.438,0.371,,"1021,592,1391,1224"
60,0,0,0.908,黑白貓,0.456,0.388,,"1031,595,1386,1222"
61,0,0,0.907,黑白貓,0.466,0.368,,"1031,595,1389,1225"
62,0,0,0.883,黑白貓,0.443,0.358,,"1029,590,1399,1228"
63,0,0,0.929,黑白貓,0.217,0.340,,"1034,584,1569,1230"
64,0,0,0.940,黑白貓,0.218,0.340,,"1035,579,1568,1230"
65,0,0,0.915,黑白貓,0.235,0.324,,"1035,577,1611,1233"
66,0,0,0.912,黑白貓,0.444,0.404,,"1045,579,1382,1229"
67,0,0,0.908,黑白貓,0.418,0.371,,"1053,582,1382,1229"
68,0,0,0.905,黑白貓,0.429,0.362,,"1046,581,1381,1230"
69,0,0,0.913,黑白貓,0.453,0.396,,"1039,585,1386,1230"
70,0,0,0.858,黑白貓,0.456,0.390,,"1039,587,1391,1228"
71,0,0,0.911,黑白貓,0.259,0.383,,"1040,592,1519,1227"
72,0,0,0.902,黑白貓,0.452,0.401,,"1042,594,1386,1229"
73,0,0,0.900,黑白貓,0.430,0.404,,"1048,599,1391,1231"
74,0,0,0.885,黑白貓,0.440,0.407,,"1063,606,1387,1231"
