frame,inst_idx,track_id,bbox_conf,label,dist_cat_a,dist_cat_b,reason,bbox
1,0,0,0.951,橘貓（目標貓）,0.200,0.377,,"1063,599,1872,1212"
2,0,0,0.951,橘貓（目標貓）,0.212,0.379,,"1063,604,1878,1212"
3,0,0,0.947,橘貓（目標貓）,0.210,0.381,,"1062,620,1891,1215"
4,0,0,0.944,橘貓（目標貓）,0.201,0.384,,"1063,632,1900,1214"
5,0,0,0.944,橘貓（目標貓）,0.195,0.395,,"1064,644,1911,1214"
6,0,0,0.944,橘貓（目標貓）,0.192,0.400,,"1066,662,1921,1214"
7,0,0,0.944,橘貓（目標貓）,0.196,0.395,,"1064,658,1924,1215"
8,0,0,0.945,橘貓（目標貓）,0.196,0.393,,"1064,654,1933,1215"
9,0,0,0.945,橘貓（目標貓）,0.202,0.389,,"1064,649,1938,1217"
10,0,0,0.945,橘貓（目標貓）,0.204,0.385,,"1064,646,1940,1218"
11,0,0,0.943,橘貓（目標貓）,0.209,0.378,,"1064,642,1941,1218"
12,0,0,0.943,橘貓（目標貓）,0.208,0.376,,"1064,644,1948,1217"
13,0,0,0.943,橘貓（目標貓）,0.204,0.376,,"1064,646,1949,1217"
14,0,0,0.943,橘貓（目標貓）,0.192,0.386,,"1065,655,1948,1216"
15,0,0,0.944,橘貓（目標貓）,0.187,0.390,,"1064,665,1951,1216"
16,0,0,0.946,橘貓（目標貓）,0.189,0.389,,"1065,662,1955,1215"
17,0,0,0.945,橘貓（目標貓）,0.189,0.390,,"1064,661,1955,1215"
18,0,0,0.945,橘貓（目標貓）,0.190,0.393,,"1064,662,1959,1215"
19,0,0,0.943,橘貓（目標貓）,0.189,0.397,,"1065,673,1956,1215"
20,0,0,0.944,橘貓（目標貓）,0.190,0.398,,"1065,667,1959,1215"
21,0,0,0.942,橘貓（目標貓）,0.188,0.404,,"1066,678,1962,1214"
22,0,0,0.940,橘貓（目標貓）,0.189,0.402,,"1065,685,1961,1214"
23,0,0,0.939,橘貓（目標貓）,0.190,0.402,,"1065,687,1962,1214"
24,0,0,0.940,橘貓（目標貓）,0.194,0.401,,"1066,685,1962,1216"
25,0,0,0.938,橘貓（目標貓）,0.194,0.401,,"1066,685,1963,1215"
26,0,0,0.938,橘貓（目標貓）,0.193,0.400,,"1066,688,1960,1214"
27,0,0,0.940,橘貓（目標貓）,0.197,0.401,,"1065,690,1946,1216"
28,0,0,0.940,橘貓（目標貓）,0.198,0.405,,"1065,692,1934,1215"
29,0,0,0.938,橘貓（目標貓）,0.198,0.403,,"1066,693,1935,1214"
30,0,0,0.939,橘貓（目標貓）,0.199,0.399,,"1066,695,1942,1214"
31,0,0,0.940,橘貓（目標貓）,0.203,0.412,,"1066,696,1942,1214"
32,0,0,0.939,橘貓（目標貓）,0.202,0.410,,"1067,697,1948,1215"
33,0,0,0.939,橘貓（目標貓）,0.200,0.403,,"1065,698,1950,1216"
34,0,0,0.938,橘貓（目標貓）,0.198,0.403,,"1065,697,1947,1215"
35,0,0,0.937,橘貓（目標貓）,0.196,0.404,,"1066,698,1943,1214"
36,0,0,0.936,橘貓（目標貓）,0.195,0.399,,"1065,698,1943,1214"
37,0,0,0.935,橘貓（目標貓）,0.196,0.400,,"1065,698,1933,1214"
38,0,0,0.932,橘貓（目標貓）,0.192,0.406,,"1065,698,1917,1214"
39,0,0,0.932,橘貓（目標貓）,0.192,0.404,,"1066,698,1917,1214"
40,0,0,0.932,橘貓（目標貓）,0.192,0.404,,"1066,698,1917,1214"
41,0,0,0.932,橘貓（目標貓）,0.192,0.403,,"1065,697,1927,1215"
42,0,0,0.934,橘貓（目標貓）,0.193,0.396,,"1065,698,1942,1215"
43,0,0,0.934,橘貓（目標貓）,0.192,0.394,,"1064,697,1942,1216"
44,0,0,0.935,橘貓（目標貓）,0.191,0.393,,"1065,698,1943,1216"
45,0,0,0.936,橘貓（目標貓）,0.192,0.396,,"1066,700,1955,1215"
46,0,0,0.936,橘貓（目標貓）,0.196,0.392,,"1066,699,1954,1215"
47,0,0,0.936,橘貓（目標貓）,0.198,0.390,,"1066,698,1955,1215"
48,0,0,0.936,橘貓（目標貓）,0.195,0.390,,"1066,694,1956,1215"
49,0,0,0.936,橘貓（目標貓）,0.196,0.389,,"1066,693,1957,1215"
50,0,0,0.938,橘貓（目標貓）,0.199,0.385,,"1066,691,1955,1215"
51,0,0,0.937,橘貓（目標貓）,0.196,0.391,,"1067,693,1954,1215"
52,0,0,0.937,橘貓（目標貓）,0.191,0.394,,"1067,693,1955,1216"
53,0,0,0.937,橘貓（目標貓）,0.190,0.390,,"1068,697,1953,1216"
54,0,0,0.939,橘貓（目標貓）,0.196,0.382,,"1067,696,1951,1216"
55,0,0,0.938,橘貓（目標貓）,0.196,0.381,,"1067,695,1949,1216"
56,0,0,0.938,橘貓（目標貓）,0.196,0.377,,"1068,695,1947,1216"
57,0,0,0.941,橘貓（目標貓）,0.195,0.379,,"1068,692,1944,1216"
58,0,0,0.940,橘貓（目標貓）,0.194,0.382,,"1069,694,1945,1216"
59,0,0,0.939,橘貓（目標貓）,0.193,0.378,,"1069,696,1945,1215"
60,0,0,0.939,橘貓（目標貓）,0.193,0.377,,"1069,699,1943,1216"
61,0,0,0.934,橘貓（目標貓）,0.198,0.380,,"1069,700,1945,1211"
62,0,0,0.935,橘貓（目標貓）,0.193,0.380,,"1069,701,1942,1211"
63,0,0,0.932,橘貓（目標貓）,0.193,0.382,,"1067,700,1946,1211"
64,0,0,0.932,橘貓（目標貓）,0.196,0.382,,"1065,700,1945,1213"
65,0,0,0.933,橘貓（目標貓）,0.197,0.382,,"1065,702,1947,1214"
66,0,0,0.933,橘貓（目標貓）,0.197,0.381,,"1065,701,1953,1214"
67,0,0,0.934,橘貓（目標貓）,0.195,0.383,,"1065,700,1955,1213"
68,0,0,0.935,橘貓（目標貓）,0.194,0.380,,"1067,698,1941,1212"
69,0,0,0.934,橘貓（目標貓）,0.197,0.376,,"1069,698,1954,1211"
70,0,0,0.933,橘貓（目標貓）,0.197,0.377,,"1069,696,1952,1210"
71,0,0,0.935,橘貓（目標貓）,0.198,0.374,,"1069,695,1952,1212"
72,0,0,0.936,橘貓（目標貓）,0.198,0.378,,"1068,696,1954,1213"
73,0,0,0.936,橘貓（目標貓）,0.194,0.385,,"1067,701,1952,1214"
74,0,0,0.934,橘貓（目標貓）,0.196,0.390,,"1067,706,1942,1212"
75,0,0,0.931,橘貓（目標貓）,0.204,0.380,,"1068,704,1951,1210"
76,0,0,0.933,橘貓（目標貓）,0.200,0.379,,"1068,701,1952,1210"
77,0,0,0.932,橘貓（目標貓）,0.201,0.377,,"1067,702,1953,1210"
78,0,0,0.932,橘貓（目標貓）,0.198,0.389,,"1069,707,1945,1212"
79,0,0,0.932,橘貓（目標貓）,0.202,0.388,,"1069,706,1950,1212"
80,0,0,0.931,橘貓（目標貓）,0.204,0.386,,"1069,704,1950,1211"
81,0,0,0.933,橘貓（目標貓）,0.204,0.389,,"1068,709,1952,1211"
82,0,0,0.930,橘貓（目標貓）,0.204,0.390,,"1067,710,1960,1210"
83,0,0,0.931,橘貓（目標貓）,0.198,0.386,,"1067,708,1954,1210"
84,0,0,0.930,橘貓（目標貓）,0.204,0.386,,"1066,710,1957,1211"
85,0,0,0.931,橘貓（目標貓）,0.202,0.385,,"1067,709,1958,1210"
86,0,0,0.929,橘貓（目標貓）,0.203,0.387,,"1068,713,1958,1210"
87,0,0,0.931,橘貓（目標貓）,0.202,0.379,,"1069,705,1952,1211"
88,0,0,0.930,橘貓（目標貓）,0.198,0.379,,"1070,706,1950,1211"
89,0,0,0.926,橘貓（目標貓）,0.198,0.380,,"1066,706,1948,1211"
90,0,0,0.928,橘貓（目標貓）,0.199,0.383,,"1067,707,1949,1211"
91,0,0,0.927,橘貓（目標貓）,0.204,0.389,,"1065,706,1954,1213"
92,0,0,0.928,橘貓（目標貓）,0.202,0.391,,"1065,707,1952,1213"
93,0,0,0.924,橘貓（目標貓）,0.196,0.388,,"1057,704,1936,1213"
94,0,0,0.926,橘貓（目標貓）,0.199,0.389,,"1059,705,1932,1213"
95,0,0,0.928,橘貓（目標貓）,0.198,0.389,,"1053,704,1930,1211"
96,0,0,0.928,橘貓（目標貓）,0.199,0.389,,"1049,701,1934,1213"
97,0,0,0.929,橘貓（目標貓）,0.198,0.392,,"1050,701,1932,1213"
98,0,0,0.929,橘貓（目標貓）,0.197,0.388,,"1053,702,1935,1212"
99,0,0,0.927,橘貓（目標貓）,0.201,0.392,,"1043,702,1925,1216"
100,0,0,0.927,橘貓（目標貓）,0.195,0.387,,"1041,701,1920,1216"
101,0,0,0.930,橘貓（目標貓）,0.192,0.390,,"1039,699,1921,1216"
102,0,0,0.930,橘貓（目標貓）,0.193,0.390,,"1035,697,1927,1217"
103,0,0,0.930,橘貓（目標貓）,0.192,0.390,,"1034,697,1929,1216"
104,0,0,0.930,橘貓（目標貓）,0.193,0.389,,"1034,696,1929,1216"
105,0,0,0.930,橘貓（目標貓）,0.194,0.387,,"1031,694,1931,1216"
106,0,0,0.930,橘貓（目標貓）,0.194,0.389,,"1030,694,1926,1215"
107,0,0,0.928,橘貓（目標貓）,0.193,0.393,,"1028,692,1935,1213"
108,0,0,0.927,橘貓（目標貓）,0.190,0.393,,"1031,690,1949,1213"
109,0,0,0.925,橘貓（目標貓）,0.190,0.393,,"1030,687,1954,1213"
110,0,0,0.923,橘貓（目標貓）,0.192,0.396,,"1032,687,1960,1214"
111,0,0,0.927,橘貓（目標貓）,0.190,0.395,,"1034,687,1963,1214"
112,0,0,0.930,橘貓（目標貓）,0.190,0.396,,"1037,688,1960,1213"
113,0,0,0.930,橘貓（目標貓）,0.191,0.395,,"1042,687,1964,1213"
114,0,0,0.930,橘貓（目標貓）,0.194,0.394,,"1048,688,1965,1211"
115,0,0,0.930,橘貓（目標貓）,0.192,0.391,,"1054,691,1964,1212"
116,0,0,0.932,橘貓（目標貓）,0.192,0.387,,"1061,693,1963,1212"
117,0,0,0.938,橘貓（目標貓）,0.198,0.381,,"1065,694,1962,1215"
118,0,0,0.939,橘貓（目標貓）,0.197,0.381,,"1065,694,1963,1215"
119,0,0,0.937,橘貓（目標貓）,0.189,0.387,,"1062,692,1965,1214"
120,0,0,0.935,橘貓（目標貓）,0.186,0.393,,"1063,693,1964,1213"
121,0,0,0.936,橘貓（目標貓）,0.210,0.391,,"1065,695,1965,1215"
122,0,0,0.936,橘貓（目標貓）,0.212,0.392,,"1065,698,1965,1215"
123,0,0,0.936,橘貓（目標貓）,0.199,0.394,,"1065,697,1958,1215"
124,0,0,0.938,橘貓（目標貓）,0.196,0.391,,"1067,698,1954,1215"
125,0,0,0.938,橘貓（目標貓）,0.195,0.387,,"1069,695,1959,1216"
126,0,0,0.938,橘貓（目標貓）,0.187,0.392,,"1069,693,1959,1216"
127,0,0,0.938,橘貓（目標貓）,0.187,0.402,,"1066,698,1957,1214"
128,0,0,0.937,橘貓（目標貓）,0.190,0.404,,"1065,698,1953,1214"
129,0,0,0.937,橘貓（目標貓）,0.197,0.409,,"1065,699,1951,1214"
130,0,0,0.939,橘貓（目標貓）,0.197,0.411,,"1065,698,1940,1214"
131,0,0,0.940,橘貓（目標貓）,0.199,0.403,,"1066,698,1937,1214"
132,0,0,0.941,橘貓（目標貓）,0.191,0.401,,"1068,693,1938,1216"
133,0,0,0.942,橘貓（目標貓）,0.187,0.395,,"1068,688,1941,1216"
134,0,0,0.941,橘貓（目標貓）,0.185,0.392,,"1067,686,1942,1216"
135,0,0,0.942,橘貓（目標貓）,0.188,0.393,,"1069,694,1942,1216"
136,0,0,0.941,橘貓（目標貓）,0.190,0.388,,"1068,698,1948,1217"
137,0,0,0.941,橘貓（目標貓）,0.191,0.385,,"1066,701,1947,1217"
138,0,0,0.940,橘貓（目標貓）,0.193,0.384,,"1067,698,1942,1217"
139,0,0,0.940,橘貓（目標貓）,0.194,0.381,,"1067,699,1944,1218"
140,0,0,0.940,橘貓（目標貓）,0.194,0.381,,"1067,699,1943,1218"
141,0,0,0.940,橘貓（目標貓）,0.194,0.378,,"1065,698,1945,1218"
142,0,0,0.942,橘貓（目標貓）,0.193,0.375,,"1065,698,1949,1220"
143,0,0,0.941,橘貓（目標貓）,0.193,0.373,,"1066,697,1952,1219"
144,0,0,0.941,橘貓（目標貓）,0.190,0.376,,"1067,697,1951,1219"
145,0,0,0.939,橘貓（目標貓）,0.191,0.379,,"1067,699,1950,1218"
146,0,0,0.940,橘貓（目標貓）,0.192,0.377,,"1065,700,1942,1218"
147,0,0,0.939,橘貓（目標貓）,0.194,0.374,,"1065,700,1953,1218"
148,0,0,0.939,橘貓（目標貓）,0.195,0.375,,"1065,700,1950,1218"
149,0,0,0.939,橘貓（目標貓）,0.195,0.374,,"1064,700,1954,1218"
150,0,0,0.938,橘貓（目標貓）,0.194,0.374,,"1062,699,1951,1218"
151,0,0,0.937,橘貓（目標貓）,0.213,0.377,,"1061,699,1947,1218"
152,0,0,0.936,橘貓（目標貓）,0.208,0.381,,"1058,698,1930,1218"
153,0,0,0.936,橘貓（目標貓）,0.213,0.383,,"1055,698,1926,1219"
154,0,0,0.936,橘貓（目標貓）,0.211,0.381,,"1052,698,1930,1219"
155,0,0,0.936,橘貓（目標貓）,0.213,0.379,,"1053,700,1943,1220"
156,0,0,0.937,橘貓（目標貓）,0.213,0.377,,"1053,701,1950,1220"
157,0,0,0.936,橘貓（目標貓）,0.213,0.376,,"1051,700,1949,1221"
158,0,0,0.935,橘貓（目標貓）,0.215,0.375,,"1049,699,1945,1221"
159,0,0,0.935,橘貓（目標貓）,0.213,0.380,,"1048,699,1942,1221"
160,0,0,0.935,橘貓（目標貓）,0.211,0.381,,"1049,698,1948,1221"
161,0,0,0.935,橘貓（目標貓）,0.212,0.375,,"1051,700,1951,1221"
162,0,0,0.935,橘貓（目標貓）,0.215,0.372,,"1052,701,1950,1223"
163,0,0,0.934,橘貓（目標貓）,0.214,0.374,,"1053,700,1950,1222"
164,0,0,0.933,橘貓（目標貓）,0.209,0.376,,"1050,700,1948,1222"
165,0,0,0.934,橘貓（目標貓）,0.212,0.381,,"1049,700,1934,1224"
166,0,0,0.935,橘貓（目標貓）,0.212,0.378,,"1050,700,1933,1225"
