frame,inst_idx,track_id,bbox_conf,label,dist_cat_a,dist_cat_b,reason,bbox
78,0,1,0.817,黑白貓,0.535,0.309,,"3,181,1263,1236"
79,0,1,0.874,黑白貓,0.693,0.261,,"1,372,1184,1275"
80,0,1,0.805,黑白貓,0.586,0.288,,"3,198,1247,1321"
81,0,1,0.805,黑白貓,0.389,0.329,,"0,368,1397,1322"
82,0,1,0.780,黑白貓,0.398,0.322,,"0,363,1393,1320"
83,0,1,0.733,黑白貓,0.398,0.317,,"1,346,1383,1313"
84,0,1,0.958,黑白貓,0.406,0.323,,"11,315,1358,1309"
85,0,1,0.963,黑白貓,0.361,0.325,,"18,301,1374,1309"
86,0,1,0.962,黑白貓,0.365,0.318,,"15,287,1370,1309"
87,0,1,0.966,黑白貓,0.391,0.310,,"4,270,1377,1310"
88,0,1,0.965,黑白貓,0.392,0.319,,"7,272,1375,1308"
89,0,1,0.965,黑白貓,0.386,0.321,,"9,271,1375,1308"
90,0,1,0.966,黑白貓,0.379,0.320,,"3,271,1376,1309"
91,0,1,0.965,黑白貓,0.411,0.293,,"4,276,1374,1309"
92,0,1,0.960,黑白貓,0.612,0.288,,"10,288,1206,1308"
93,0,1,0.961,黑白貓,0.691,0.306,,"7,416,1190,1317"
94,0,1,0.909,黑白貓,0.676,0.287,,"51,425,1195,1318"
95,0,1,0.847,黑白貓,0.641,0.287,,"69,408,1205,1318"
96,0,2,0.895,橘貓（目標貓）,0.151,0.467,,"995,436,1361,836"
97,0,2,0.896,橘貓（目標貓）,0.155,0.467,,"995,434,1360,829"
102,0,2,0.794,橘貓（目標貓）,0.149,0.415,,"991,438,1348,874"
103,0,1,0.786,黑白貓,0.658,0.367,,"479,446,1118,1303"
104,0,2,0.905,橘貓（目標貓）,0.167,0.467,,"997,434,1361,833"
105,0,1,0.922,黑白貓,0.513,0.344,,"520,420,1242,1334"
106,0,1,0.934,黑白貓,0.413,0.401,,"524,418,1343,1329"
107,0,1,0.887,黑白貓,0.506,0.328,,"535,420,1329,1325"
108,0,1,0.929,黑白貓,0.588,0.408,,"915,416,1630,1289"
109,0,1,0.923,黑白貓,0.659,0.366,,"938,424,1743,1303"
110,0,1,0.679,黑白貓,0.611,0.377,,"959,414,1904,1282"
111,0,1,0.944,黑白貓,0.527,0.405,,"982,423,1987,1231"
112,0,2,0.698,橘貓（目標貓）,0.173,0.416,,"994,429,1281,811"
112,1,3,0.505,unknown,0.198,0.410,,"991,430,1407,815"
113,0,1,0.920,黑白貓,0.847,0.341,,"1328,800,2034,1228"
114,0,1,0.914,黑白貓,0.870,0.370,,"1389,811,1994,1219"
114,1,3,0.864,橘貓（目標貓）,0.172,0.449,,"996,430,1389,835"
114,2,2,0.700,unknown,0.190,0.378,,"992,426,1450,926"
115,0,3,0.880,橘貓（目標貓）,0.173,0.428,,"996,430,1407,845"
115,1,1,0.870,黑白貓,0.899,0.393,,"1344,829,1982,1227"
115,2,2,0.829,unknown,0.200,0.350,,"991,422,1500,1045"
115,3,4,0.511,unknown,0.224,0.326,,"983,437,1548,1222"
116,0,3,0.877,橘貓（目標貓）,0.195,0.413,,"996,428,1436,840"
116,1,1,0.868,黑白貓,0.895,0.417,,"1372,817,1978,1233"
116,2,4,0.787,unknown,0.218,0.328,,"991,420,1556,1120"
117,0,1,0.928,黑白貓,0.857,0.496,,"1445,806,2022,1219"
117,1,3,0.881,橘貓（目標貓）,0.175,0.457,,"995,428,1389,825"
118,0,1,0.903,黑白貓,0.860,0.511,,"1454,805,2044,1223"
118,1,3,0.892,橘貓（目標貓）,0.177,0.440,,"998,428,1413,831"
118,2,2,0.786,unknown,0.217,0.328,,"1000,425,1576,953"
119,0,1,0.931,黑白貓,0.854,0.509,,"1455,807,2067,1220"
119,1,3,0.646,橘貓（目標貓）,0.174,0.454,,"994,427,1395,827"
120,0,1,0.899,黑白貓,0.843,0.490,,"1445,822,2180,1237"
121,0,1,0.910,黑白貓,0.798,0.460,,"1447,790,2210,1241"
122,0,1,0.887,黑白貓,0.814,0.442,,"1444,781,2224,1248"
122,1,5,0.877,unknown,0.725,0.447,,"1438,583,2224,1249"
122,2,3,0.536,橘貓（目標貓）,0.187,0.475,,"999,427,1374,821"
123,0,1,0.924,黑白貓,0.835,0.437,,"1489,809,2208,1224"
124,0,1,0.914,黑白貓,0.864,0.449,,"1488,835,2189,1219"
125,0,1,0.909,黑白貓,0.854,0.426,,"1330,832,2178,1226"
125,1,3,0.809,橘貓（目標貓）,0.186,0.438,,"1000,428,1428,834"
126,0,1,0.921,黑白貓,0.900,0.439,,"1346,856,2163,1219"
127,0,1,0.913,黑白貓,0.906,0.467,,"1388,870,2166,1218"
128,0,1,0.920,黑白貓,0.913,0.488,,"1405,878,2155,1212"
129,0,1,0.921,黑白貓,0.901,0.471,,"1428,854,2119,1239"
130,0,1,0.920,黑白貓,0.897,0.471,,"1423,850,2113,1236"
131,0,1,0.920,黑白貓,0.889,0.475,,"1407,845,2113,1236"
132,0,1,0.914,黑白貓,0.886,0.487,,"1411,851,2117,1239"
133,0,1,0.914,黑白貓,0.879,0.482,,"1456,853,2132,1236"
134,0,1,0.917,黑白貓,0.878,0.476,,"1445,844,2128,1238"
134,1,3,0.623,橘貓（目標貓）,0.197,0.472,,"999,427,1310,818"
135,0,1,0.922,黑白貓,0.873,0.490,,"1453,840,2117,1222"
136,0,1,0.919,黑白貓,0.879,0.474,,"1457,837,2116,1233"
137,0,1,0.867,黑白貓,0.904,0.513,,"1463,846,2102,1227"
138,0,1,0.873,黑白貓,0.873,0.468,,"1461,841,2092,1227"
138,1,3,0.735,橘貓（目標貓）,0.188,0.481,,"1001,430,1364,824"
139,0,1,0.795,黑白貓,0.887,0.501,,"1460,842,2107,1231"
140,0,3,0.648,橘貓（目標貓）,0.190,0.481,,"1001,431,1356,826"
140,1,1,0.512,黑白貓,0.889,0.470,,"1467,849,2157,1236"
141,0,1,0.879,黑白貓,0.901,0.475,,"1481,858,2095,1233"
142,0,3,0.720,橘貓（目標貓）,0.192,0.473,,"998,427,1343,831"
142,1,1,0.594,黑白貓,0.922,0.501,,"1485,856,2049,1236"
143,0,3,0.793,橘貓（目標貓）,0.192,0.477,,"1000,428,1319,822"
