frame,inst_idx,track_id,bbox_conf,label,dist_cat_a,dist_cat_b,reason,bbox
1,0,0,0.944,橘貓（目標貓）,0.230,0.382,,"1050,563,1857,1219"
2,0,0,0.944,橘貓（目標貓）,0.231,0.383,,"1048,563,1860,1219"
3,0,0,0.946,橘貓（目標貓）,0.229,0.384,,"1052,565,1861,1219"
4,0,0,0.946,橘貓（目標貓）,0.231,0.383,,"1051,563,1861,1219"
5,0,0,0.946,橘貓（目標貓）,0.231,0.382,,"1051,561,1861,1219"
6,0,0,0.947,橘貓（目標貓）,0.230,0.381,,"1049,562,1860,1220"
7,0,0,0.946,橘貓（目標貓）,0.230,0.381,,"1048,561,1860,1220"
8,0,0,0.947,橘貓（目標貓）,0.228,0.380,,"1047,561,1860,1221"
9,0,0,0.947,橘貓（目標貓）,0.228,0.381,,"1046,562,1861,1221"
10,0,0,0.946,橘貓（目標貓）,0.227,0.382,,"1045,563,1861,1220"
11,0,0,0.946,橘貓（目標貓）,0.226,0.381,,"1042,564,1862,1220"
12,0,0,0.946,橘貓（目標貓）,0.224,0.381,,"1044,564,1861,1221"
13,0,0,0.947,橘貓（目標貓）,0.224,0.382,,"1044,564,1861,1221"
14,0,0,0.945,橘貓（目標貓）,0.224,0.381,,"1042,563,1861,1221"
15,0,0,0.943,橘貓（目標貓）,0.223,0.379,,"1032,561,1863,1221"
16,0,0,0.942,橘貓（目標貓）,0.221,0.375,,"1011,559,1863,1221"
17,0,0,0.942,橘貓（目標貓）,0.222,0.379,,"1030,560,1863,1221"
18,0,0,0.943,橘貓（目標貓）,0.222,0.380,,"1036,562,1863,1221"
19,0,0,0.944,橘貓（目標貓）,0.222,0.381,,"1036,562,1863,1221"
20,0,0,0.945,橘貓（目標貓）,0.222,0.382,,"1044,563,1864,1221"
21,0,0,0.945,橘貓（目標貓）,0.221,0.384,,"1042,562,1864,1221"
22,0,0,0.945,橘貓（目標貓）,0.220,0.384,,"1043,563,1863,1221"
23,0,0,0.945,橘貓（目標貓）,0.221,0.383,,"1029,562,1862,1221"
24,0,0,0.945,橘貓（目標貓）,0.221,0.380,,"1039,555,1857,1220"
25,0,0,0.944,橘貓（目標貓）,0.220,0.383,,"1039,551,1856,1220"
26,0,0,0.944,橘貓（目標貓）,0.221,0.382,,"1037,547,1854,1220"
27,0,0,0.945,橘貓（目標貓）,0.224,0.384,,"1033,538,1853,1219"
28,0,0,0.944,橘貓（目標貓）,0.223,0.385,,"1036,535,1852,1220"
29,0,0,0.944,橘貓（目標貓）,0.223,0.384,,"1037,533,1851,1220"
30,0,0,0.944,橘貓（目標貓）,0.223,0.385,,"1035,532,1849,1220"
31,0,0,0.944,橘貓（目標貓）,0.235,0.383,,"1040,529,1849,1218"
32,0,0,0.943,橘貓（目標貓）,0.235,0.387,,"1038,530,1850,1217"
33,0,0,0.941,橘貓（目標貓）,0.242,0.398,,"1034,533,1849,1214"
34,0,0,0.940,橘貓（目標貓）,0.242,0.398,,"1031,529,1848,1214"
35,0,0,0.939,橘貓（目標貓）,0.240,0.392,,"1019,526,1847,1214"
36,0,0,0.940,橘貓（目標貓）,0.240,0.394,,"1027,522,1847,1213"
37,0,0,0.940,橘貓（目標貓）,0.240,0.391,,"1017,521,1847,1214"
38,0,0,0.941,橘貓（目標貓）,0.242,0.392,,"1017,524,1849,1214"
39,0,0,0.943,橘貓（目標貓）,0.247,0.390,,"1026,522,1854,1215"
40,0,0,0.941,橘貓（目標貓）,0.248,0.388,,"1020,521,1857,1214"
41,0,0,0.944,橘貓（目標貓）,0.251,0.385,,"1017,523,1861,1215"
42,0,0,0.941,橘貓（目標貓）,0.252,0.388,,"1027,527,1863,1214"
43,0,0,0.941,橘貓（目標貓）,0.253,0.387,,"1033,529,1865,1216"
44,0,0,0.943,橘貓（目標貓）,0.252,0.385,,"1028,528,1865,1216"
45,0,0,0.944,橘貓（目標貓）,0.244,0.389,,"1051,527,1875,1217"
46,0,0,0.943,橘貓（目標貓）,0.245,0.387,,"1037,526,1875,1217"
47,0,0,0.944,橘貓（目標貓）,0.245,0.387,,"1038,527,1876,1217"
48,0,0,0.944,橘貓（目標貓）,0.244,0.383,,"1025,525,1874,1215"
49,0,0,0.945,橘貓（目標貓）,0.244,0.382,,"1026,525,1873,1215"
