frame,inst_idx,track_id,bbox_conf,label,dist_cat_a,dist_cat_b,reason,bbox
107,0,4,0.560,橘貓（目標貓）,0.199,0.355,,"899,265,1348,1219"
108,0,4,0.928,橘貓（目標貓）,0.204,0.346,,"909,269,1383,938"
109,0,4,0.928,橘貓（目標貓）,0.197,0.346,,"908,269,1380,939"
110,0,4,0.926,橘貓（目標貓）,0.199,0.347,,"908,269,1372,940"
111,0,4,0.927,橘貓（目標貓）,0.194,0.344,,"908,270,1375,940"
112,0,4,0.928,橘貓（目標貓）,0.194,0.338,,"906,274,1377,939"
113,0,4,0.928,橘貓（目標貓）,0.189,0.338,,"907,278,1374,937"
114,0,4,0.929,橘貓（目標貓）,0.194,0.339,,"904,281,1381,936"
115,0,4,0.928,橘貓（目標貓）,0.189,0.340,,"904,284,1373,935"
116,0,4,0.929,橘貓（目標貓）,0.185,0.333,,"901,283,1373,933"
117,0,4,0.932,橘貓（目標貓）,0.193,0.334,,"892,291,1375,936"
118,0,4,0.931,橘貓（目標貓）,0.193,0.335,,"890,291,1371,934"
119,0,4,0.931,橘貓（目標貓）,0.193,0.334,,"890,292,1372,934"
120,0,4,0.932,橘貓（目標貓）,0.195,0.335,,"886,291,1372,934"
121,0,4,0.931,橘貓（目標貓）,0.177,0.369,,"888,297,1365,938"
122,0,4,0.928,橘貓（目標貓）,0.159,0.367,,"886,297,1355,932"
123,0,4,0.927,橘貓（目標貓）,0.158,0.367,,"884,297,1352,929"
124,0,4,0.925,橘貓（目標貓）,0.163,0.368,,"881,298,1359,923"
125,0,4,0.925,橘貓（目標貓）,0.163,0.367,,"881,299,1358,923"
125,1,6,0.744,黑白貓,0.779,0.408,,"182,761,746,1191"
126,0,4,0.920,橘貓（目標貓）,0.155,0.371,,"884,303,1348,924"
126,1,6,0.712,黑白貓,0.720,0.387,,"185,768,794,1189"
127,0,4,0.915,橘貓（目標貓）,0.157,0.368,,"884,303,1356,927"
127,1,6,0.729,黑白貓,0.626,0.402,,"179,774,818,1170"
128,0,4,0.912,橘貓（目標貓）,0.158,0.368,,"887,305,1358,929"
128,1,6,0.676,黑白貓,0.596,0.389,,"170,762,833,1177"
129,0,6,0.924,黑白貓,0.599,0.399,,"161,743,817,1184"
129,1,4,0.905,橘貓（目標貓）,0.155,0.369,,"885,304,1353,929"
