frame,inst_idx,track_id,color_distance,raw_is_target,is_target,reason,bbox
50,0,0,0.590,0,0,,"521,471,973,1217"
51,0,0,0.531,0,0,,"502,483,1023,1202"
52,0,0,0.546,0,0,,"478,482,1040,1206"
53,0,0,0.562,0,0,,"486,498,1053,1200"
54,0,0,0.703,0,0,,"576,499,1060,1210"
55,0,0,0.752,0,0,,"606,495,1058,1208"
56,0,0,0.723,0,0,,"607,473,1048,1209"
57,0,0,0.718,0,0,,"602,449,1073,1209"
58,0,0,0.740,0,0,,"598,442,1077,1209"
59,0,0,0.719,0,0,,"581,432,1081,1208"
60,0,0,0.675,0,0,,"564,417,1094,1205"
61,0,0,0.626,0,0,,"544,413,1100,1092"
62,0,0,0.655,0,0,,"555,412,1113,1006"
63,0,0,0.701,0,0,,"609,408,1132,999"
64,0,0,0.705,0,0,,"615,407,1142,997"
65,0,0,0.715,0,0,,"622,396,1158,997"
66,0,0,0.709,0,0,,"632,394,1179,993"
67,0,0,0.722,0,0,,"630,400,1192,978"
68,0,0,0.710,0,0,,"626,409,1205,972"
69,0,0,0.707,0,0,,"612,432,1221,889"
70,0,0,0.695,0,0,,"622,436,1235,885"
71,0,0,0.693,0,0,,"619,435,1249,882"
72,0,0,0.695,0,0,,"595,434,1267,871"
73,0,0,0.701,0,0,,"629,437,1266,873"
74,0,0,0.712,0,0,,"629,433,1273,868"
75,0,0,0.748,0,0,,"608,440,1273,847"
76,0,0,0.763,0,0,,"603,442,1271,832"
77,0,0,0.759,0,0,,"609,442,1271,841"
78,0,0,0.730,0,0,,"593,438,1250,849"
79,0,0,0.749,0,0,,"595,436,1239,847"
80,0,0,0.756,0,0,,"591,430,1235,847"
81,0,0,0.767,0,0,,"586,416,1231,844"
82,0,0,0.781,0,0,,"585,416,1227,845"
83,0,0,0.777,0,0,,"575,412,1222,844"
84,0,0,0.781,0,0,,"567,405,1216,846"
85,0,0,0.786,0,0,,"598,404,1216,845"
86,0,0,0.787,0,0,,"576,402,1217,846"
87,0,0,0.786,0,0,,"580,396,1216,845"
88,0,0,0.791,0,0,,"583,395,1216,846"
89,0,0,0.792,0,0,,"591,393,1216,846"
90,0,0,0.806,0,0,,"587,393,1208,846"
91,0,0,0.761,0,0,,"577,396,1208,852"
92,0,0,0.736,0,0,,"577,393,1211,851"
93,0,0,0.769,0,0,,"576,407,1201,846"
94,0,0,0.787,0,0,,"576,410,1180,848"
95,0,0,0.793,0,0,,"577,409,1169,844"
96,0,0,0.753,0,0,,"561,392,1125,845"
97,0,0,0.773,0,0,,"563,383,1099,840"
98,0,0,0.784,0,0,,"562,379,1080,840"
99,0,0,0.648,0,0,,"571,385,1051,838"
100,0,0,0.659,0,0,,"576,389,1039,841"
101,0,0,0.673,0,0,,"561,389,1031,839"
102,0,0,0.659,0,0,,"651,413,971,854"
103,0,0,0.623,0,0,,"666,441,956,873"
104,0,0,0.574,0,0,,"675,462,951,872"
105,0,0,0.552,0,0,,"650,448,948,866"
106,0,0,0.567,0,0,,"640,437,951,864"
107,0,0,0.592,0,0,,"635,429,947,866"
108,0,0,0.551,0,0,,"608,454,903,861"
109,0,0,0.645,0,0,,"593,480,948,845"
110,0,0,0.616,0,0,,"575,485,955,941"
111,0,0,0.539,0,0,,"564,492,956,958"
112,0,0,0.540,0,0,,"557,493,963,960"
113,0,0,0.517,0,0,,"527,498,959,959"
114,0,0,0.556,0,0,,"531,493,953,952"
115,0,0,0.584,0,0,,"531,494,949,949"
116,0,0,0.656,0,0,,"532,493,946,938"
117,0,0,0.630,0,0,,"525,495,951,954"
118,0,0,0.603,0,0,,"528,494,952,953"
119,0,0,0.609,0,0,,"533,495,950,956"
120,0,0,0.604,0,0,,"528,495,947,949"
121,0,0,0.612,0,0,,"529,498,947,949"
122,0,0,0.624,0,0,,"529,496,950,945"
123,0,0,0.628,0,0,,"521,495,948,946"
124,0,0,0.628,0,0,,"521,494,946,939"
125,0,0,0.631,0,0,,"522,495,955,950"
126,0,0,0.636,0,0,,"522,493,963,962"
127,0,0,0.654,0,0,,"516,495,962,959"
128,0,0,0.637,0,0,,"513,493,967,962"
129,0,0,0.606,0,0,,"496,496,963,975"
130,0,0,0.610,0,0,,"484,494,964,978"
131,0,0,0.588,0,0,,"469,495,964,991"
132,0,0,0.604,0,0,,"430,486,966,995"
133,0,0,0.582,0,0,,"543,496,964,975"
134,0,0,0.562,0,0,,"402,488,966,973"
135,0,0,0.544,0,0,,"347,481,967,1075"
136,0,0,0.520,0,0,,"363,483,963,1069"
137,0,0,0.531,0,0,,"365,484,962,1059"
138,0,0,0.532,0,0,,"379,488,967,1046"
139,0,0,0.538,0,0,,"368,483,969,1054"
140,0,0,0.539,0,0,,"370,479,963,1051"
141,0,0,0.526,0,0,,"367,481,962,1075"
142,0,0,0.517,0,0,,"383,485,968,1073"
143,0,0,0.512,0,0,,"353,482,969,1081"
144,0,0,0.508,0,0,,"325,488,965,1041"
145,0,0,0.502,0,0,,"284,475,975,1098"
146,0,0,0.507,0,0,,"284,476,977,1085"
147,0,0,0.569,0,0,,"289,476,919,1066"
148,0,0,0.549,0,0,,"291,468,914,1067"
149,0,0,0.521,0,0,,"291,468,921,1042"
150,0,0,0.447,1,0,,"286,498,733,1067"
151,0,0,0.464,1,0,,"280,517,633,1121"
152,0,0,0.537,0,0,,"269,476,963,1282"
153,0,0,0.619,0,0,,"276,492,946,1277"
154,0,0,0.630,0,0,,"272,482,943,1279"
155,0,0,0.631,0,0,,"264,472,945,1335"
156,0,0,0.604,0,0,,"246,797,697,1356"
157,0,0,0.598,0,0,,"216,476,866,1354"
158,0,0,0.655,0,0,,"192,500,827,1338"
159,0,0,0.563,0,0,,"147,519,927,1336"
162,0,0,0.515,0,0,,"2,302,662,1370"
163,0,0,0.510,0,0,,"10,215,664,1407"
164,0,0,0.536,0,0,,"5,170,659,1408"
165,0,0,0.535,0,0,,"1,160,657,1418"
166,0,0,0.537,0,0,,"0,153,657,1428"
167,0,0,0.531,0,0,,"1,154,652,1418"
168,0,0,0.534,0,0,,"0,155,649,1427"
169,0,0,0.530,0,0,,"0,159,647,1425"
170,0,0,0.536,0,0,,"2,155,643,1415"
171,0,0,0.543,0,0,,"1,162,640,1429"
172,0,0,0.538,0,0,,"1,161,640,1425"
173,0,0,0.535,0,0,,"0,157,641,1419"
174,0,0,0.532,0,0,,"0,158,643,1424"
175,0,0,0.527,0,0,,"1,160,642,1421"
176,0,0,0.541,0,0,,"1,158,636,1423"
177,0,0,0.607,0,0,,"4,195,678,1440"
178,0,0,0.671,0,0,,"2,244,665,1422"
179,0,0,0.750,0,0,,"4,152,692,1434"
180,0,0,0.771,0,0,,"4,516,737,1428"
181,0,0,0.810,0,0,,"2,351,724,1427"
182,0,0,0.812,0,0,,"2,0,725,1440"
183,0,0,0.810,0,0,,"3,326,717,1440"
184,0,0,0.820,0,0,,"3,368,673,1440"
185,0,0,0.784,0,0,,"3,344,694,1440"
