video_idx,video_path,playback_pass,frame_step,source_fps,model_input_fps,frame,processed_frame,processed_frame_global,time_sec,left_ear_x,left_ear_y,right_ear_x,right_ear_y,distance_px,distance_norm,ray_end_x,ray_end_y,ray_norm_x,ray_norm_y,lick_zone,lick_axis_score,lick_lateral_score,nearest_target_label,nearest_target_t,limb_hit_any,limb_hit_labels,limb_hit_fl_frame,limb_hit_fr_frame,limb_hit_hl_frame,limb_hit_hr_frame,limb_entry_count_fl,limb_entry_count_fr,limb_entry_count_hl,limb_entry_count_hr,target_entry_count,tail_entry_count,lick_time_body_sec,lick_time_fl_sec,lick_time_fr_sec,lick_time_hl_sec,lick_time_hr_sec,lick_time_tail_sec,lick_sec_per_hit_body,lick_sec_per_hit_fl,lick_sec_per_hit_fr,lick_sec_per_hit_hl,lick_sec_per_hit_hr,lick_sec_per_hit_tail,lick_pref_pct_body,lick_pref_pct_fl,lick_pref_pct_fr,lick_pref_pct_hl,lick_pref_pct_hr,lick_pref_pct_tail,nose_detected,gaze_forward_norm,gaze_lateral_norm,gaze_angle_deg,face_state_cat,face_state_raw,face_state,state_stability,valid
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,11,11,11,0.458333,880.0,261.75,883.0,245.5,16.524603,0.02958807,1233.1063,1081.6727,0.964118,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7853,0.0514,3.74,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.6364,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,12,12,12,0.5,879.5,261.75,882.0,246.0,15.947178,0.02854049,1234.9856,1080.6696,0.965587,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7852,0.0506,3.69,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.6667,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,13,13,13,0.541667,880.0,260.75,882.0,246.0,14.884976,0.02663948,1225.3469,1084.3309,0.958051,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7836,0.0473,3.46,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.6923,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,14,14,14,0.583333,880.0,260.75,882.0,246.0,14.884976,0.0266276,1223.8031,1084.9631,0.956844,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7837,0.0451,3.29,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.7143,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,15,15,15,0.625,883.5,263.0,883.0,246.25,16.757461,0.03003085,1217.3041,1089.7602,0.951762,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7862,0.0426,3.11,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.7333,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,16,16,16,0.666667,886.0,262.5,885.0,246.25,16.28074,0.02917748,1205.4581,1095.0058,0.942501,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7863,0.0412,3.0,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.75,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,17,17,17,0.708333,886.0,262.0,885.0,246.0,16.03122,0.0287303,1204.2295,1095.0916,0.94154,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7855,0.0398,2.9,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.7647,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,18,18,18,0.75,888.5,263.75,885.0,245.5,18.582586,0.03328785,1195.1977,1099.5356,0.934478,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7847,0.0361,2.63,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.7778,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,19,19,19,0.791667,891.5,265.25,885.0,246.0,20.317788,0.03645207,1189.7784,1103.0238,0.930241,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7873,0.032,2.33,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.7895,1
1,C:\Users\homec\OneDrive\圖片\貓咪圖像資料集\1_貓咪姿勢影片分類\未被選擇的模型影片\lick\lick_104.mp4,0,1,24.0,24.0,20,20,20,0.833333,891.5,265.5,885.0,246.25,20.317788,0.03645207,1187.1354,1104.2039,0.928175,1.0,NO_TARGET,,,NO_TARGET,,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1,0.7856,0.0314,2.29,FACING_CAMERA,FACING_CAMERA,FACING_CAMERA,0.8,1
