model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9551,0.1500,7.509,26.011,0.0498
old,1,Left_Ear,0.9793,0.0539,8.043,31.429,0.0000
old,2,Right_Ear,0.9804,0.0674,7.296,25.677,0.0030
old,3,Chest,0.9973,0.0272,3.654,13.142,0.0000
old,4,Mid_Back,0.9984,0.0019,3.899,13.737,0.0000
old,5,Hip,0.9982,0.0108,4.187,15.649,0.0000
old,6,LF_Elbow,0.9980,0.0064,3.861,14.866,0.0000
old,7,LF_Paw,0.9881,0.0539,5.116,21.024,0.0022
old,8,RF_Elbow,0.9962,0.0189,3.850,14.562,0.0000
old,9,RF_Paw,0.9818,0.0551,4.953,20.173,0.0009
old,10,LH_Knee,0.9782,0.0971,4.413,17.174,0.0034
old,11,LH_Paw,0.9759,0.0936,7.180,29.739,0.0027
old,12,RH_Knee,0.9705,0.1116,4.239,16.357,0.0061
old,13,RH_Paw,0.9724,0.0935,6.566,27.417,0.0025
old,14,Tail_Root,0.9734,0.1271,4.716,17.356,0.0130
old,15,Tail_Mid,0.9678,0.1251,5.313,20.483,0.0135
old,16,Tail_Tip,0.8648,0.2482,8.131,31.550,0.0928
new,0,Nose,0.9483,0.1568,7.804,26.749,0.0383
new,1,Left_Ear,0.9727,0.0708,8.207,30.765,0.0024
new,2,Right_Ear,0.9739,0.0755,7.963,27.585,0.0033
new,3,Chest,0.9961,0.0390,3.841,13.499,0.0007
new,4,Mid_Back,0.9989,0.0015,3.997,14.390,0.0000
new,5,Hip,0.9979,0.0148,4.270,16.071,0.0000
new,6,LF_Elbow,0.9966,0.0131,4.095,15.992,0.0000
new,7,LF_Paw,0.9806,0.0655,5.208,19.085,0.0024
new,8,RF_Elbow,0.9945,0.0263,4.012,15.000,0.0000
new,9,RF_Paw,0.9727,0.0731,5.056,19.796,0.0009
new,10,LH_Knee,0.9772,0.0964,4.357,17.166,0.0059
new,11,LH_Paw,0.9718,0.1011,7.506,30.869,0.0045
new,12,RH_Knee,0.9644,0.1281,4.069,15.977,0.0179
new,13,RH_Paw,0.9672,0.1105,6.585,25.607,0.0110
new,14,Tail_Root,0.9731,0.1207,4.635,17.874,0.0136
new,15,Tail_Mid,0.9646,0.1184,5.267,20.225,0.0114
new,16,Tail_Tip,0.8607,0.2556,8.288,31.917,0.0947
