model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,7月7日 (8)(1).mp4,126,126,0,0.9890,0.0056,10.466,9.779,27.277,112.853,0.0000,0.0000,0.0000,0.0000
old,walk,7月7日 (8)(3).mp4,200,200,0,0.9168,0.0690,12.596,14.326,35.576,233.902,0.0000,0.0850,0.0288,0.2583
old,walk,7月7日 (8).mp4,94,94,0,0.8895,0.0712,23.337,19.419,54.942,278.247,0.0000,0.0000,0.0186,0.0745
new,walk,7月7日 (8)(1).mp4,126,126,0,0.9845,0.0127,10.605,9.858,28.961,98.467,0.0000,0.0000,0.0000,0.0000
new,walk,7月7日 (8)(3).mp4,200,200,0,0.9304,0.0614,12.431,13.978,37.094,166.672,0.0000,0.0950,0.0200,0.1833
new,walk,7月7日 (8).mp4,94,94,0,0.8591,0.0483,20.585,15.652,48.665,139.764,0.0000,0.0000,0.1835,0.4752
