Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),40.98,38.75,-2.229,+5.44%
Mean Confidence,0.932,0.931,-0.002,-0.18%
Mean Jitter (px),14.33,13.41,-0.918,+6.40%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,2.8%,3.2%,+0.3%,-11.76%
Paw Missing,1.6%,6.8%,+5.2%,-5.20%
Tail Missing,11.1%,22.0%,+10.9%,-97.87%
Tail Tip Missing,13.0%,32.7%,+19.7%,-150.88%
