model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,7月7日 (8)(1).mp4,126,126,0,0.9893,0.0065,11.540,12.334,33.946,155.149,0.0000,0.0079,0.0000,0.0000
old,walk,7月7日 (8)(3).mp4,200,200,0,0.9759,0.0309,13.813,15.152,40.397,203.219,0.0000,0.1350,0.0088,0.0000
old,walk,7月7日 (8).mp4,94,75,19,0.9558,0.0239,31.916,37.190,79.250,500.403,0.2021,0.0000,0.0000,0.0000
old,walk,walk_1.mp4,473,473,0,0.9840,0.0143,11.352,14.380,33.127,325.233,0.0000,0.1395,0.0000,0.0000
new,walk,7月7日 (8)(1).mp4,126,126,0,0.9864,0.0104,10.121,9.467,26.706,105.777,0.0000,0.0000,0.0000,0.0000
new,walk,7月7日 (8)(3).mp4,200,200,0,0.9358,0.0566,12.814,14.806,36.534,179.009,0.0000,0.1100,0.0150,0.0533
new,walk,7月7日 (8).mp4,94,94,0,0.8519,0.0368,21.038,15.000,47.594,153.090,0.0000,0.0000,0.4309,0.3333
new,walk,walk_1.mp4,473,473,0,0.9854,0.0168,10.325,12.254,30.165,269.549,0.0000,0.1438,0.0000,0.0000
