Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),38.88,37.73,-1.148,+2.95%
Mean Confidence,0.925,0.921,-0.004,-0.40%
Mean Jitter (px),13.63,13.45,-0.177,+1.30%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,5.2%,4.7%,-0.5%,+9.68%
Paw Missing,5.7%,5.4%,-0.3%,+5.56%
Tail Missing,8.6%,14.8%,+6.2%,-71.85%
Tail Tip Missing,12.3%,12.2%,-0.1%,+0.69%
