model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,7月7日 (8)(1).mp4,126,126,0,0.9771,0.0208,10.223,9.575,28.118,83.949,0.0000,0.0000,0.0000,0.0000
old,walk,7月7日 (8)(3).mp4,200,200,0,0.9210,0.0575,12.455,13.646,35.690,156.112,0.0000,0.1550,0.0462,0.1017
old,walk,7月7日 (8).mp4,94,94,0,0.8634,0.0592,21.424,21.094,51.239,466.134,0.0000,0.0000,0.1250,0.1560
new,walk,7月7日 (8)(1).mp4,126,126,0,0.9854,0.0103,10.768,10.108,28.430,113.329,0.0000,0.0000,0.0000,0.0000
new,walk,7月7日 (8)(3).mp4,200,200,0,0.9135,0.0540,12.287,13.323,34.817,173.043,0.0000,0.1400,0.0288,0.1733
new,walk,7月7日 (8).mp4,94,94,0,0.8516,0.0652,20.368,14.485,45.647,150.680,0.0000,0.0000,0.1330,0.2695
