model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9789,0.0621,6.982,14.765,0.0000
old,1,Left_Ear,0.9938,0.0095,7.614,16.135,0.0000
old,2,Right_Ear,0.9698,0.0558,7.688,17.443,0.0000
old,3,Chest,0.9993,0.0009,7.153,16.887,0.0000
old,4,Mid_Back,0.9988,0.0008,7.475,15.796,0.0000
old,5,Hip,0.9998,0.0006,7.189,15.794,0.0000
old,6,LF_Elbow,0.9993,0.0012,13.789,36.742,0.0000
old,7,LF_Paw,0.9968,0.0033,27.963,76.995,0.0000
old,8,RF_Elbow,0.9980,0.0027,13.269,38.055,0.0000
old,9,RF_Paw,0.9979,0.0021,27.020,78.190,0.0000
old,10,LH_Knee,0.9965,0.0109,10.905,25.492,0.0000
old,11,LH_Paw,0.9966,0.0075,22.781,53.845,0.0000
old,12,RH_Knee,0.9772,0.0386,11.915,29.952,0.0000
old,13,RH_Paw,0.9866,0.0234,25.068,66.262,0.0000
old,14,Tail_Root,0.9836,0.0515,8.010,18.026,0.0000
old,15,Tail_Mid,0.9863,0.0408,8.380,20.540,0.0000
old,16,Tail_Tip,0.9277,0.0979,11.151,25.440,0.0000
new,0,Nose,0.9705,0.0845,7.625,17.089,0.0000
new,1,Left_Ear,0.9969,0.0036,8.306,18.114,0.0000
new,2,Right_Ear,0.9657,0.0532,8.089,18.275,0.0000
new,3,Chest,0.9996,0.0007,7.736,16.931,0.0000
new,4,Mid_Back,0.9994,0.0004,8.370,18.782,0.0000
new,5,Hip,1.0000,0.0000,8.940,20.317,0.0000
new,6,LF_Elbow,0.9998,0.0004,13.903,33.933,0.0000
new,7,LF_Paw,0.9981,0.0027,26.613,72.891,0.0000
new,8,RF_Elbow,0.9993,0.0007,13.326,36.716,0.0000
new,9,RF_Paw,0.9984,0.0013,25.579,74.284,0.0000
new,10,LH_Knee,0.9996,0.0010,12.718,32.203,0.0000
new,11,LH_Paw,0.9993,0.0011,27.033,81.655,0.0000
new,12,RH_Knee,0.9959,0.0061,13.843,37.843,0.0000
new,13,RH_Paw,0.9979,0.0023,26.824,77.511,0.0000
new,14,Tail_Root,0.9984,0.0070,9.318,21.219,0.0000
new,15,Tail_Mid,0.9985,0.0074,10.492,24.329,0.0000
new,16,Tail_Tip,0.9842,0.0246,14.745,38.693,0.0000
