Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),37.00,40.13,+3.133,-8.47%
Mean Confidence,0.987,0.994,+0.007,+0.68%
Mean Jitter (px),13.20,14.32,+1.124,-8.52%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,0.0%,0.0%,+0.0%,+0.00%
Paw Missing,0.0%,0.0%,+0.0%,+0.00%
Tail Missing,0.0%,0.0%,+0.0%,+0.00%
Tail Tip Missing,0.0%,0.0%,+0.0%,+0.00%
