model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9551,0.1500,7.509,26.011,0.0498
old,1,Left_Ear,0.9793,0.0539,8.043,31.429,0.0000
old,2,Right_Ear,0.9804,0.0674,7.296,25.677,0.0030
old,3,Chest,0.9973,0.0272,3.654,13.142,0.0000
old,4,Mid_Back,0.9984,0.0019,3.899,13.737,0.0000
old,5,Hip,0.9982,0.0108,4.187,15.649,0.0000
old,6,LF_Elbow,0.9980,0.0064,3.861,14.866,0.0000
old,7,LF_Paw,0.9881,0.0539,5.116,21.024,0.0022
old,8,RF_Elbow,0.9962,0.0189,3.850,14.562,0.0000
old,9,RF_Paw,0.9818,0.0551,4.953,20.173,0.0009
old,10,LH_Knee,0.9782,0.0971,4.413,17.174,0.0034
old,11,LH_Paw,0.9759,0.0936,7.180,29.739,0.0027
old,12,RH_Knee,0.9705,0.1116,4.239,16.357,0.0061
old,13,RH_Paw,0.9724,0.0935,6.566,27.417,0.0025
old,14,Tail_Root,0.9734,0.1271,4.716,17.356,0.0130
old,15,Tail_Mid,0.9678,0.1251,5.313,20.483,0.0135
old,16,Tail_Tip,0.8648,0.2482,8.131,31.550,0.0928
new,0,Nose,0.9502,0.1672,7.906,27.164,0.0502
new,1,Left_Ear,0.9806,0.0621,8.290,31.208,0.0026
new,2,Right_Ear,0.9772,0.0849,7.794,28.911,0.0048
new,3,Chest,0.9961,0.0365,3.979,14.473,0.0007
new,4,Mid_Back,0.9986,0.0033,4.032,14.462,0.0000
new,5,Hip,0.9969,0.0191,4.195,14.838,0.0000
new,6,LF_Elbow,0.9976,0.0133,4.059,15.681,0.0000
new,7,LF_Paw,0.9803,0.0737,5.341,21.159,0.0029
new,8,RF_Elbow,0.9958,0.0265,4.188,16.018,0.0000
new,9,RF_Paw,0.9793,0.0685,5.078,20.093,0.0018
new,10,LH_Knee,0.9818,0.0826,4.396,17.020,0.0055
new,11,LH_Paw,0.9711,0.1062,7.203,29.622,0.0110
new,12,RH_Knee,0.9583,0.1484,4.216,15.620,0.0258
new,13,RH_Paw,0.9611,0.1214,6.530,25.800,0.0141
new,14,Tail_Root,0.9777,0.0987,4.736,16.834,0.0076
new,15,Tail_Mid,0.9646,0.1135,5.767,20.456,0.0100
new,16,Tail_Tip,0.8686,0.2413,8.476,30.985,0.0825
