behavior,old_mean_confidence,new_mean_confidence,conf_change,conf_improvement_pct,old_mean_jitter,new_mean_jitter,jitter_change,jitter_improvement_pct,old_missing_ratio,new_missing_ratio,missing_change,missing_improvement_pct
walk,0.9324,0.9249,-0.0074,-0.79%,14.327,13.625,-0.702,+4.90%,0.0000,0.0000,+0.0000,+0.00%
lick,0.9929,0.9951,+0.0022,+0.22%,2.524,2.491,-0.033,+1.29%,0.0000,0.0000,+0.0000,+0.00%
scratch,0.9898,0.9823,-0.0076,-0.76%,5.472,5.890,+0.418,-7.63%,0.0000,0.0000,+0.0000,+0.00%
shake,0.9924,0.9916,-0.0008,-0.08%,4.911,4.837,-0.074,+1.51%,0.0000,0.0000,+0.0000,+0.00%
stop,0.9872,0.9890,+0.0018,+0.19%,3.655,4.679,+1.024,-28.02%,0.0175,0.0219,+0.0044,-0.44%
