model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,stop,stop_1.mp4,118,118,0,0.9986,0.0001,0.550,0.885,1.896,13.872,0.0000,0.0000,0.0000,0.0000
old,stop,stop_10.mp4,339,339,0,0.9944,0.0049,2.811,3.066,8.542,47.781,0.0000,0.0000,0.0000,0.0000
old,stop,stop_101.mp4,53,53,0,0.9979,0.0001,0.924,3.481,2.302,77.856,0.0000,0.0000,0.0000,0.0000
old,stop,stop_103.mp4,57,57,0,0.9840,0.0016,1.194,1.608,3.958,18.473,0.0000,0.0000,0.0000,0.0000
old,stop,stop_104.mp4,30,30,0,0.9901,0.0005,1.240,1.453,4.182,10.639,0.0000,0.0000,0.0000,0.0000
old,stop,stop_105.mp4,73,73,0,0.9963,0.0001,0.686,0.992,2.286,12.570,0.0000,0.0000,0.0000,0.0000
old,stop,stop_106.mp4,32,32,0,0.9751,0.0019,0.992,1.510,3.052,13.009,0.0000,0.0000,0.0000,0.0000
old,stop,stop_107.mp4,44,44,0,0.9916,0.0003,0.655,0.696,2.069,5.317,0.0000,0.0000,0.0000,0.0000
old,stop,stop_109.mp4,33,33,0,0.9971,0.0001,0.837,1.407,3.510,12.480,0.0000,0.0000,0.0000,0.0000
old,stop,stop_110.mp4,41,41,0,0.9860,0.0035,1.731,3.171,7.066,31.862,0.0000,0.0000,0.0000,0.0000
old,stop,stop_111.mp4,42,42,0,0.9187,0.0036,2.891,4.304,10.063,54.633,0.0000,0.0000,0.0000,0.0000
old,stop,stop_112.mp4,55,55,0,0.9800,0.0059,2.180,5.144,8.501,50.928,0.0000,0.0000,0.0000,0.2727
old,stop,stop_113.mp4,31,31,0,0.9824,0.0028,2.042,3.819,6.677,56.784,0.0000,0.0000,0.0000,0.0000
old,stop,stop_114.mp4,46,46,0,0.9899,0.0002,0.939,0.933,2.796,7.984,0.0000,0.0000,0.0000,0.0000
old,stop,stop_115.mp4,57,57,0,0.9800,0.0042,1.324,3.650,3.079,45.874,0.0000,0.0000,0.0000,0.2982
old,stop,stop_116.mp4,30,30,0,0.9919,0.0003,0.498,0.820,1.925,6.990,0.0000,0.0000,0.0000,0.0000
old,stop,stop_118.mp4,29,29,0,0.8862,0.0133,3.283,5.771,19.658,26.685,0.0000,0.0000,0.0000,0.6667
