model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9402,0.1880,2.171,8.577,0.0141
old,1,Left_Ear,0.9690,0.0501,2.235,8.217,0.0001
old,2,Right_Ear,0.9611,0.0641,2.155,8.635,0.0000
old,3,Chest,0.9969,0.0074,1.480,5.623,0.0000
old,4,Mid_Back,0.9984,0.0073,1.746,6.198,0.0000
old,5,Hip,0.9988,0.0065,1.705,6.291,0.0000
old,6,LF_Elbow,0.9816,0.0644,1.697,6.546,0.0000
old,7,LF_Paw,0.9399,0.1587,2.126,7.815,0.0113
old,8,RF_Elbow,0.9820,0.0626,1.791,7.227,0.0000
old,9,RF_Paw,0.9493,0.1203,1.960,7.456,0.0061
old,10,LH_Knee,0.9374,0.1919,1.656,6.044,0.0115
old,11,LH_Paw,0.9303,0.1852,2.607,9.567,0.0110
old,12,RH_Knee,0.9445,0.1947,1.806,7.061,0.0242
old,13,RH_Paw,0.8994,0.2358,2.443,8.259,0.0281
old,14,Tail_Root,0.9807,0.0794,2.197,8.543,0.0061
old,15,Tail_Mid,0.9424,0.1792,3.060,11.648,0.0231
old,16,Tail_Tip,0.8172,0.2862,5.354,20.348,0.1033
new,0,Nose,0.9372,0.1896,2.140,8.171,0.0143
new,1,Left_Ear,0.9778,0.0426,2.244,8.112,0.0000
new,2,Right_Ear,0.9655,0.0695,2.313,8.480,0.0000
new,3,Chest,0.9974,0.0068,1.570,5.534,0.0000
new,4,Mid_Back,0.9984,0.0096,1.762,5.986,0.0000
new,5,Hip,0.9983,0.0072,1.726,5.992,0.0000
new,6,LF_Elbow,0.9904,0.0486,1.642,5.944,0.0000
new,7,LF_Paw,0.9602,0.1094,1.995,6.944,0.0016
new,8,RF_Elbow,0.9931,0.0345,1.745,6.630,0.0000
new,9,RF_Paw,0.9648,0.0905,2.082,7.680,0.0061
new,10,LH_Knee,0.9239,0.2282,1.595,5.170,0.0204
new,11,LH_Paw,0.9167,0.2232,2.515,8.461,0.0195
new,12,RH_Knee,0.9530,0.1530,1.722,6.035,0.0155
new,13,RH_Paw,0.9207,0.1830,2.471,8.590,0.0149
new,14,Tail_Root,0.9621,0.1236,2.125,7.576,0.0078
new,15,Tail_Mid,0.9275,0.1848,2.772,9.808,0.0326
new,16,Tail_Tip,0.7833,0.3117,4.955,18.038,0.1388
