Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),8.47,7.81,-0.656,+7.74%
Mean Confidence,0.968,0.968,+0.000,+0.00%
Mean Jitter (px),2.23,2.18,-0.050,+2.23%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,1.4%,1.4%,+0.0%,-0.02%
Paw Missing,1.4%,1.1%,-0.4%,+0.36%
Tail Missing,4.4%,6.0%,+1.6%,-35.32%
Tail Tip Missing,10.3%,13.9%,+3.6%,-34.40%
