Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),37.00,37.94,+0.942,-2.55%
Mean Confidence,0.987,0.991,+0.004,+0.37%
Mean Jitter (px),13.20,13.81,+0.616,-4.67%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,0.0%,0.5%,+0.5%,-0.50%
Paw Missing,0.0%,0.0%,+0.0%,+0.00%
Tail Missing,0.0%,0.0%,+0.0%,+0.00%
Tail Tip Missing,0.0%,0.0%,+0.0%,+0.00%
