epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.12963447577829146,0.9574982722874914,0.04134971408117336,0.9937205651491365,0.0003
2,0.032723879422310226,0.9910158949550795,0.05341084784521051,0.9937205651491365,0.0003
3,0.03223514589548636,0.9889426399447132,0.0634377188828207,0.9921507064364207,0.0003
4,0.023508934954821075,0.9903248099516241,0.06091283554580508,0.9937205651491365,0.0003
5,0.02001366198079631,0.9917069799585349,0.07475074035895175,0.9921507064364207,0.0003
6,0.01345345660874848,0.9958534899792675,0.07499334066313373,0.9937205651491365,0.0003
7,0.01089055868679543,0.9961990324809952,0.0776174979105171,0.9937205651491365,8.999999999999999e-05
8,0.012173104141845284,0.995162404975812,0.08294921288052066,0.9921507064364207,8.999999999999999e-05
9,0.00935930560342002,0.997581202487906,0.07467313689142242,0.9937205651491365,8.999999999999999e-05
10,0.009171633992552353,0.9965445749827229,0.07486292723173438,0.9937205651491365,8.999999999999999e-05
11,0.01339266370181144,0.9955079474775398,0.07741815636612244,0.9937205651491365,8.999999999999999e-05
12,0.00873678624360055,0.997581202487906,0.07936913941530878,0.9937205651491365,2.6999999999999996e-05
13,0.012188839795661327,0.9948168624740843,0.07634954922719182,0.9937205651491365,2.6999999999999996e-05
