model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9391,0.2011,10.865,28.830,0.0283
old,1,Left_Ear,0.9701,0.1033,11.141,33.974,0.0000
old,2,Right_Ear,0.9480,0.1774,10.058,24.937,0.0233
old,3,Chest,0.9854,0.0734,9.851,28.444,0.0000
old,4,Mid_Back,0.9963,0.0032,10.130,28.215,0.0000
old,5,Hip,0.9871,0.0270,13.142,36.335,0.0000
old,6,LF_Elbow,0.9924,0.0151,11.814,31.957,0.0000
old,7,LF_Paw,0.9457,0.1373,19.940,53.581,0.0167
old,8,RF_Elbow,0.9851,0.0355,12.217,34.225,0.0000
old,9,RF_Paw,0.9510,0.1181,19.625,59.615,0.0067
old,10,LH_Knee,0.8462,0.2218,11.908,33.933,0.0263
old,11,LH_Paw,0.8458,0.2115,19.532,57.307,0.0209
old,12,RH_Knee,0.8087,0.2466,12.192,33.205,0.0465
old,13,RH_Paw,0.8415,0.2088,19.289,51.232,0.0190
old,14,Tail_Root,0.8132,0.3036,14.762,42.524,0.0994
old,15,Tail_Mid,0.8174,0.2991,15.738,43.286,0.1032
old,16,Tail_Tip,0.7286,0.3073,23.285,63.384,0.1302
new,0,Nose,0.9229,0.2360,10.694,26.893,0.0467
new,1,Left_Ear,0.9623,0.1356,11.408,32.270,0.0183
new,2,Right_Ear,0.9326,0.2103,10.041,25.707,0.0300
new,3,Chest,0.9811,0.0959,9.527,25.451,0.0000
new,4,Mid_Back,0.9970,0.0026,9.478,27.653,0.0000
new,5,Hip,0.9956,0.0101,12.707,34.783,0.0000
new,6,LF_Elbow,0.9915,0.0148,11.826,30.494,0.0000
new,7,LF_Paw,0.9420,0.1219,20.015,56.855,0.0067
new,8,RF_Elbow,0.9867,0.0383,11.856,34.880,0.0000
new,9,RF_Paw,0.9501,0.1049,20.080,56.041,0.0017
new,10,LH_Knee,0.8853,0.1984,10.756,28.803,0.0509
new,11,LH_Paw,0.8556,0.2155,16.342,42.908,0.0511
new,12,RH_Knee,0.8198,0.2504,12.677,35.097,0.0755
new,13,RH_Paw,0.8424,0.2141,18.968,52.601,0.0459
new,14,Tail_Root,0.8908,0.2039,13.559,37.739,0.0315
new,15,Tail_Mid,0.8933,0.2023,15.891,37.356,0.0369
new,16,Tail_Tip,0.8112,0.2490,21.045,60.636,0.0799
