Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),40.98,39.88,-1.100,+2.68%
Mean Confidence,0.932,0.940,+0.007,+0.80%
Mean Jitter (px),14.33,13.90,-0.428,+2.99%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,2.8%,4.7%,+1.8%,-64.71%
Paw Missing,1.6%,2.6%,+1.1%,-1.05%
Tail Missing,11.1%,4.9%,-6.2%,+55.45%
Tail Tip Missing,13.0%,8.0%,-5.0%,+38.69%
