model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,7月7日 (8)(1).mp4,126,126,0,0.9890,0.0056,10.466,9.779,27.277,112.853,0.0000,0.0000,0.0000,0.0000
old,walk,7月7日 (8)(3).mp4,200,200,0,0.9168,0.0690,12.596,14.326,35.576,233.902,0.0000,0.0850,0.0288,0.2583
old,walk,7月7日 (8).mp4,94,94,0,0.8895,0.0712,23.337,19.419,54.942,278.247,0.0000,0.0000,0.0186,0.0745
new,walk,7月7日 (8)(1).mp4,126,126,0,0.9938,0.0041,9.942,9.245,25.160,107.473,0.0000,0.0000,0.0000,0.0000
new,walk,7月7日 (8)(3).mp4,200,200,0,0.9300,0.0648,12.627,14.384,35.632,171.830,0.0000,0.1400,0.0125,0.0383
new,walk,7月7日 (8).mp4,94,94,0,0.8885,0.0547,22.510,26.243,52.499,619.809,0.0000,0.0000,0.0665,0.1099
