Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),13.16,13.16,-0.005,+0.04%
Mean Confidence,0.978,0.978,-0.000,-0.04%
Mean Jitter (px),3.39,3.46,+0.070,-2.07%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,11.7%,11.8%,+0.1%,-0.54%
Paw Missing,0.0%,0.0%,+0.0%,+0.00%
Tail Missing,0.2%,0.7%,+0.5%,-0.50%
Tail Tip Missing,0.6%,2.1%,+1.5%,-1.51%
