model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,7月7日 (8)(1).mp4,126,126,0,0.9833,0.0123,10.121,9.353,27.199,80.574,0.0000,0.0000,0.0000,0.0000
old,walk,7月7日 (8)(3).mp4,200,200,0,0.9184,0.0671,12.977,14.755,38.280,236.846,0.0000,0.1050,0.0188,0.1200
old,walk,7月7日 (8).mp4,94,94,0,0.8398,0.0542,20.504,16.925,48.601,252.395,0.0000,0.0000,0.2154,0.2766
new,walk,7月7日 (8)(1).mp4,126,126,0,0.9890,0.0083,10.644,9.413,27.024,94.248,0.0000,0.0000,0.0000,0.0000
new,walk,7月7日 (8)(3).mp4,200,200,0,0.9159,0.0630,12.807,14.875,37.142,178.027,0.0000,0.0800,0.0275,0.2767
new,walk,7月7日 (8).mp4,94,94,0,0.8717,0.0583,20.455,15.704,47.825,204.989,0.0000,0.0000,0.0798,0.2057
