Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),38.94,37.60,-1.341,+3.44%
Mean Confidence,0.920,0.928,+0.008,+0.83%
Mean Jitter (px),13.53,13.75,+0.220,-1.63%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,3.5%,2.7%,-0.8%,+23.81%
Paw Missing,7.8%,3.6%,-4.2%,+54.19%
Tail Missing,13.2%,16.1%,+2.9%,-21.62%
Tail Tip Missing,22.5%,20.2%,-2.2%,+9.87%
