epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.1296429850763507,0.9574982722874914,0.04137149007100114,0.9937205651491365,0.0003
2,0.03273157350739571,0.9910158949550795,0.05340682603806269,0.9937205651491365,0.0003
3,0.03221362166421433,0.9889426399447132,0.06349587294921312,0.9921507064364207,0.0003
4,0.023500289765406083,0.9903248099516241,0.0608819561299632,0.9937205651491365,0.0003
5,0.02002297980716013,0.9917069799585349,0.07472920704145405,0.9921507064364207,0.0003
6,0.013460894515441824,0.9958534899792675,0.07498059084712706,0.9937205651491365,0.0003
7,0.010910187892805021,0.9961990324809952,0.07755301970831326,0.9937205651491365,8.999999999999999e-05
8,0.012167130953422475,0.995162404975812,0.08287251785348737,0.9921507064364207,8.999999999999999e-05
9,0.009376733420634257,0.997581202487906,0.07460300777642849,0.9937205651491365,8.999999999999999e-05
10,0.009170304420804791,0.9965445749827229,0.07481286939800952,0.9937205651491365,8.999999999999999e-05
11,0.013397670412686255,0.9955079474775398,0.07730431755860383,0.9937205651491365,8.999999999999999e-05
12,0.008737813074849887,0.997581202487906,0.07926570156186483,0.9937205651491365,2.6999999999999996e-05
13,0.012178625647106055,0.9948168624740843,0.07633596537221873,0.9937205651491365,2.6999999999999996e-05
