Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),21.67,21.37,-0.297,+1.37%
Mean Confidence,0.983,0.983,+0.000,+0.00%
Mean Jitter (px),5.72,5.68,-0.043,+0.75%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,5.2%,5.5%,+0.3%,-6.67%
Paw Missing,0.2%,0.3%,+0.1%,-0.07%
Tail Missing,4.2%,4.2%,-0.0%,+0.02%
Tail Tip Missing,9.7%,9.2%,-0.5%,+5.27%
