Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),23.59,25.58,+1.988,-8.43%
Mean Confidence,0.969,0.969,+0.000,+0.02%
Mean Jitter (px),7.52,8.15,+0.633,-8.42%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,34.6%,33.1%,-1.5%,+4.38%
Paw Missing,1.6%,1.7%,+0.1%,-0.05%
Tail Missing,3.0%,0.5%,-2.5%,+82.16%
Tail Tip Missing,9.0%,1.6%,-7.4%,+82.16%
