Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),35.42,37.00,+1.572,-4.44%
Mean Confidence,0.991,0.987,-0.004,-0.35%
Mean Jitter (px),13.06,13.20,+0.142,-1.09%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,0.0%,0.0%,+0.0%,+0.00%
Paw Missing,0.0%,0.0%,+0.0%,+0.00%
Tail Missing,0.0%,0.0%,+0.0%,+0.00%
Tail Tip Missing,0.0%,0.0%,+0.0%,+0.00%
