model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,7月7日 (8)(1).mp4,126,126,0,0.9893,0.0065,11.540,12.334,33.946,155.149,0.0000,0.0079,0.0000,0.0000
old,walk,7月7日 (8)(3).mp4,200,200,0,0.9759,0.0309,13.813,15.152,40.397,203.219,0.0000,0.1350,0.0088,0.0000
old,walk,7月7日 (8).mp4,94,75,19,0.9558,0.0239,31.916,37.190,79.250,500.403,0.2021,0.0000,0.0000,0.0000
old,walk,walk_1.mp4,473,473,0,0.9840,0.0143,11.352,14.380,33.127,325.233,0.0000,0.1395,0.0000,0.0000
old,lick,7月3日(1).mp4,135,135,0,0.9748,0.0051,3.284,4.411,11.588,53.493,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(2).mp4,156,156,0,0.9850,0.0032,2.885,3.482,9.809,30.052,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(3).mp4,121,121,0,0.9785,0.0055,3.995,5.201,12.597,72.883,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(4).mp4,147,147,0,0.9929,0.0008,2.851,4.459,9.080,77.505,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日.mp4,139,139,0,0.9869,0.0073,3.920,4.936,13.195,52.872,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日 (2)(1).mp4,155,155,0,0.9035,0.0327,14.166,20.432,55.443,175.522,0.0000,0.0000,0.0000,0.3011
old,scratch,7月3日 (2)(2).mp4,109,109,0,0.9730,0.0126,10.449,21.734,37.571,260.033,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日 (2)(3).mp4,154,154,0,0.9796,0.0085,9.366,13.958,32.945,180.177,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日 (2)(4).mp4,142,142,0,0.9551,0.0121,9.895,16.834,44.058,163.570,0.0000,0.0000,0.0000,0.3357
old,scratch,7月3日 (2).mp4,177,177,0,0.9477,0.0176,13.843,23.572,48.975,276.572,0.0000,0.0000,0.0000,0.0094
old,shake,7月7日 (5)(1).mp4,105,105,0,0.9927,0.0087,3.466,7.864,13.643,94.127,0.0000,0.0095,0.0000,0.0000
old,shake,7月7日 (5)(2).mp4,99,99,0,0.9921,0.0096,6.176,14.269,25.661,183.411,0.0000,0.0000,0.0000,0.0000
old,shake,7月7日 (5)(3).mp4,102,102,0,0.9655,0.0145,6.660,11.688,24.047,140.532,0.0000,0.3431,0.0000,0.1601
old,shake,7月7日 (5)(4).mp4,110,110,0,0.9934,0.0045,4.230,9.557,17.515,119.476,0.0000,0.0000,0.0000,0.0000
old,shake,7月7日 (5)(5).mp4,108,108,0,0.9961,0.0039,4.022,7.564,17.328,82.586,0.0000,0.0000,0.0000,0.0000
old,shake,7月7日 (5).mp4,116,116,0,0.9936,0.0045,4.069,9.335,16.981,119.476,0.0000,0.0000,0.0000,0.0000
old,stop,stop_1.mp4,118,118,0,0.9978,0.0001,0.545,0.891,1.762,12.996,0.0000,0.0000,0.0000,0.0000
old,stop,stop_19.mp4,54,54,0,0.9962,0.0008,2.757,3.627,6.694,54.660,0.0000,0.0000,0.0000,0.0000
old,stop,stop_2.mp4,397,397,0,0.9837,0.0121,5.037,9.656,18.735,251.037,0.0000,0.4710,0.0000,0.0000
old,stop,stop_3.mp4,248,248,0,0.9609,0.0193,3.753,6.259,12.433,91.679,0.0000,0.0000,0.0000,0.0000
new,walk,7月7日 (8)(1).mp4,126,126,0,0.9864,0.0104,10.121,9.467,26.706,105.777,0.0000,0.0000,0.0000,0.0000
new,walk,7月7日 (8)(3).mp4,200,200,0,0.9358,0.0566,12.814,14.806,36.534,179.009,0.0000,0.1100,0.0150,0.0533
new,walk,7月7日 (8).mp4,94,94,0,0.8519,0.0368,21.038,15.000,47.594,153.090,0.0000,0.0000,0.4309,0.3333
new,walk,walk_1.mp4,473,473,0,0.9854,0.0168,10.325,12.254,30.165,269.549,0.0000,0.1438,0.0000,0.0000
new,lick,7月3日(1).mp4,135,135,0,0.9962,0.0003,2.313,3.195,8.388,26.497,0.0000,0.0000,0.0000,0.0000
new,lick,7月3日(2).mp4,156,156,0,0.9976,0.0002,1.960,2.675,7.235,21.335,0.0000,0.0000,0.0000,0.0000
new,lick,7月3日(3).mp4,121,121,0,0.9987,0.0002,2.281,2.671,7.159,26.604,0.0000,0.0000,0.0000,0.0000
